id,source_dataset,query,gold_answer,chatbot generated answer,qldt generated answer,eval,eval_reason
chunks_001_simple_001,06_Quy_dinh_ngoai_ngu_chunks,Sinh viên được xét miễn học phần ngoại ngữ cơ bản khi nào?,Nếu sinh viên đạt được chứng chỉ ngoại ngữ theo quy định sẽ được xét miễn các học phần NNCB tương ứng.,"Sinh viên được xét miễn học phần ngoại ngữ cơ bản (NNCB) hoặc học phần ngoại ngữ khi đáp ứng các điều kiện sau:

*   **Đạt chứng chỉ ngoại ngữ:** Sinh viên đạt được chứng chỉ ngoại ngữ theo quy định tương ứng với trình độ đạt được trong quá trình học tập.
*   **Chứng chỉ còn hạn:** Chứng chỉ ngoại ngữ phải còn hạn theo quy định tính tới thời điểm nộp đơn xét miễn.
*   **Thẩm định và cập nhật:** Các chứng chỉ ngoại ngữ quốc gia, quốc tế phải được thẩm định nguồn gốc và cập nhật mức điểm lên hệ thống phần mềm quản lý đào tạo trước thời điểm nộp đơn.
*   **Thời hạn nộp đơn:** Đơn đề nghị xét miễn phải được nộp muộn nhất là **2 tuần** trước khi học kỳ bắt đầu (theo Khung kế hoạch năm học hoặc Biểu đồ kế hoạch học tập của năm học).

**Lưu ý:**
*   Kết quả miễn học sẽ được ghi bằng ký hiệu ""R"" trong dữ liệu học tập/bảng điểm.
*   Danh mục chứng chỉ và các học phần được miễn tương ứng được quy định tại các Phụ lục kèm theo quy định của từng khóa.",,,
chunks_001_simple_002,06_Quy_dinh_ngoai_ngu_chunks,Kết quả miễn học ngoại ngữ cơ bản được ghi nhận như thế nào?,"Kết quả miễn học được ghi bằng ký hiệu ""R"" và có giá trị toàn khóa.","Theo quy định, kết quả miễn học các học phần ngoại ngữ cơ bản (NNCB) được ghi nhận như sau:

*   Kết quả miễn học được ghi bằng ký hiệu ""R"" trong dữ liệu học tập.
*   Kết quả này có giá trị toàn khóa kể từ ngày nhập điểm R.",,,
chunks_001_simple_003,06_Quy_dinh_ngoai_ngu_chunks,Thời hạn nộp đơn xin miễn học phần ngoại ngữ cơ bản là khi nào?,Muộn nhất là 2 tuần trước khi bắt đầu học kỳ.,Tôi không tìm thấy thông tin về thời hạn nộp đơn xin miễn học phần ngoại ngữ cơ bản trong các tài liệu hiện có.,,,
chunks_001_simple_004,06_Quy_dinh_ngoai_ngu_chunks,"Trong hai học kỳ đầu, ai xếp lớp ngoại ngữ cơ bản cho sinh viên?",Ban Đào tạo xếp lớp dựa trên kết quả phân loại đầu vào.,"Trong hai học kỳ đầu, Ban Đào tạo là đơn vị thực hiện xếp lớp học các học phần ngoại ngữ cơ bản cho sinh viên dựa trên kết quả phân loại trình độ ngoại ngữ đầu vào.",,,
chunks_001_simple_005,06_Quy_dinh_ngoai_ngu_chunks,Từ học kỳ nào sinh viên tự đăng ký học phần ngoại ngữ cơ bản?,Từ học kỳ 3 trở đi.,"Theo các tài liệu quy định cho khóa K70, lộ trình tự đăng ký học phần ngoại ngữ cơ bản được quy định như sau:

*   **Đối với các chương trình áp dụng quy định chung:** Sinh viên tự đăng ký học song hành các học phần ngoại ngữ cơ bản cùng với các học phần khác trong chương trình đào tạo từ **học kỳ 3** trở đi.
*   **Đối với chương trình Cơ điện tử (Hợp tác với ĐH Nagaoka, Nhật Bản):** Sinh viên tự đăng ký học song hành học phần Tiếng Nhật III vào **học kỳ 3**.
*   **Đối với chương trình Hệ thống nhúng thông minh và IoT:** Sinh viên tự đăng ký học song hành các học phần ngoại ngữ tại kỳ tương ứng (theo Bảng 7.2) nếu chưa học hoặc chưa được miễn.

Việc đăng ký học song hành từ học kỳ 3 trở đi (trừ trường hợp đã học hoặc được miễn) là điều kiện bắt buộc để sinh viên được đăng ký học tập các học phần khác trong chương trình đào tạo.",,,
chunks_001_simple_006,06_Quy_dinh_ngoai_ngu_chunks,Sinh viên có được hủy học phần NNCB đã đăng ký không?,"Không, trừ khi rút toàn bộ đăng ký học tập.","Theo quy định của Đại học Bách khoa Hà Nội, sinh viên **không được phép hủy các học phần Ngoại ngữ cơ bản (NNCB)**.

Việc đăng ký học song hành các học phần NNCB (từ kỳ 3 trở đi) là điều kiện bắt buộc để sinh viên được đăng ký các học phần khác trong chương trình đào tạo.

Nếu bạn cần thêm thông tin chi tiết hoặc có trường hợp đặc biệt, vui lòng liên hệ trực tiếp với Phòng Đào tạo để được hỗ trợ và xác nhận chính thức.",,,
chunks_001_simple_007,06_Quy_dinh_ngoai_ngu_chunks,Chứng chỉ tiếng Anh xét chuẩn đầu ra cần đủ bao nhiêu kỹ năng?,Phải đánh giá đầy đủ 4 kỹ năng.,"Chứng chỉ tiếng Anh xét chuẩn đầu ra cần đánh giá đầy đủ 4 kỹ năng: nghe, nói, đọc, viết.",,,
chunks_001_simple_008,06_Quy_dinh_ngoai_ngu_chunks,Chứng chỉ tiếng Anh xét chuẩn đầu ra được cấp trong bao lâu?,Trong vòng 2 năm.,"Theo các tài liệu được cung cấp, thời hạn của chứng chỉ tiếng Anh xét chuẩn đầu ra được quy định như sau:

*   **Đối với sinh viên khóa K68, K69:** Chứng chỉ tiếng Anh có giá trị công nhận trong vòng **2 năm** kể từ ngày cấp.
*   **Đối với các khóa khác (theo quy định chung):** Chứng chỉ tiếng Anh phải được cấp trong vòng **2 năm** tính đến thời điểm xét chuẩn ngoại ngữ đầu ra và còn hiệu lực tại thời điểm xét.
*   **Đối với chứng chỉ tiếng Anh nội bộ (khóa K62, K63, K64):** Kết quả thi có giá trị trong thời gian **2 năm** kể từ ngày thi. Chứng chỉ nội bộ (đạt TOEIC 500 trở lên) cũng có giá trị trong **2 năm** kể từ ngày cấp.",,,
chunks_001_simple_009,06_Quy_dinh_ngoai_ngu_chunks,Sinh viên không đủ điều kiện phân loại đầu vào sẽ học thế nào?,Được xếp từ học phần đầu tiên của khối NNCB.,"Chào bạn, về vấn đề phân loại trình độ ngoại ngữ đầu vào, theo quy định của Đại học Bách khoa Hà Nội:

Sinh viên không đáp ứng điều kiện phân loại trình độ ngoại ngữ đầu vào sẽ phải **học toàn bộ các học phần ngoại ngữ** tương ứng với chương trình đào tạo của mình theo lộ trình quy định.

Nếu cần thêm thông tin chi tiết về lộ trình học tập cụ thể cho ngành của mình, bạn có thể liên hệ trực tiếp với Phòng Đào tạo để được hỗ trợ xác nhận chính thức.",,,
chunks_001_simple_010,06_Quy_dinh_ngoai_ngu_chunks,Các học phần NNCB có tính vào tín chỉ chính khóa không?,Không tính tín chỉ trong CTĐT chính khóa.,Các học phần ngoại ngữ cơ bản (NNCB) được xếp vào khối kiến thức ngoại ngữ bổ trợ tăng cường và **không tính tín chỉ** trong chương trình đào tạo chính khóa.,,,
chunks_001_simple_011,06_Quy_dinh_ngoai_ngu_chunks,Ai quyết định tiêu chí phân loại đầu vào?,Giám đốc Đại học Bách khoa Hà Nội.,"Theo các tài liệu đã cung cấp, việc lựa chọn tiêu chí phân loại trình độ ngoại ngữ đầu vào do **Giám đốc Đại học Bách khoa Hà Nội** quyết định theo từng khóa tuyển sinh.",,,
chunks_001_simple_012,06_Quy_dinh_ngoai_ngu_chunks,Có thể dùng điểm thi THPT để phân loại đầu vào không?,Có.,"Việc sử dụng điểm thi tốt nghiệp THPT để phân loại trình độ ngoại ngữ đầu vào được quy định như sau:

*   **Đối với sinh viên khóa K65, K66, K67:**
    *   Chương trình đào tạo chuẩn: Có thể sử dụng điểm thi môn tiếng Anh của kỳ thi tốt nghiệp THPT tại năm nhập học.
    *   Chương trình đào tạo tiên tiến, tài năng và chương trình hợp tác quốc tế: Phân loại dựa trên kết quả kiểm tra tiếng Anh nội bộ đầu khóa hoặc chứng chỉ tiếng Anh quốc tế (không đề cập đến điểm thi THPT).
    *   Đối với ngoại ngữ khác tiếng Anh: Có thể sử dụng điểm thi môn ngoại ngữ tương ứng của kỳ thi tốt nghiệp THPT tại năm nhập học.

*   **Đối với sinh viên khóa K68, K69, K70:**
    *   Đối với chương trình đào tạo có yêu cầu chuẩn đầu ra là tiếng Anh: Điểm thi môn tiếng Anh của kỳ thi tốt nghiệp THPT tại năm nhập học là một trong các tiêu chí có thể được sử dụng để phân loại (việc lựa chọn tiêu chí cụ thể do Giám đốc Đại học Bách khoa Hà Nội quyết định theo từng khóa tuyển sinh).
    *   Đối với chương trình đào tạo có yêu cầu chuẩn đầu ra là ngoại ngữ khác tiếng Anh: Phân loại dựa trên chứng chỉ quốc tế của ngôn ngữ tương ứng (không đề cập đến điểm thi THPT).",,,
chunks_001_simple_013,06_Quy_dinh_ngoai_ngu_chunks,Chứng chỉ xét miễn học phải đáp ứng điều kiện gì?,Phải còn hạn.,"Theo các quy định hiện hành, chứng chỉ ngoại ngữ để xét miễn học phần ngoại ngữ cơ bản cần đáp ứng các điều kiện sau:

*   **Thời hạn:** Chứng chỉ phải còn hạn theo quy định tính tới thời điểm nộp đơn xét miễn.
*   **Dạng thức thi:** Chứng chỉ phải đánh giá đầy đủ 4 kỹ năng nghe, nói, đọc, viết.
*   **Thời gian cấp:** Chứng chỉ phải được cấp trong vòng 2 năm tính đến thời điểm xét.
*   **Thẩm định và cập nhật:** Chứng chỉ quốc gia, quốc tế phải được thẩm định nguồn gốc và cập nhật mức điểm lên hệ thống phần mềm quản lý đào tạo trước thời điểm nộp đơn đề nghị xét miễn.
*   **Quy định riêng với TOEIC 4 kỹ năng:** Được quy đổi tương đương dựa theo kỹ năng đạt điểm thấp nhất.
*   **Trường hợp không chấp nhận:** Không công nhận chứng chỉ TOEFL iBT theo hình thức Home Edition.
*   **Thời hạn nộp đơn:** Muộn nhất là 2 tuần trước khi bắt đầu học kỳ theo Khung kế hoạch năm học.

*Lưu ý: Kết quả bài kiểm tra TOEIC Placement do Đại học Bách khoa Hà Nội tổ chức chỉ dùng để phân loại trình độ xếp lớp, không dùng để xét miễn học phần.*",,,
chunks_001_simple_014,06_Quy_dinh_ngoai_ngu_chunks,Chứng chỉ quốc tế cần làm gì trước khi xét miễn?,Phải được thẩm định và cập nhật lên hệ thống.,"Theo các quy định hiện hành, đối với chứng chỉ ngoại ngữ quốc tế trước khi nộp đơn xét miễn học phần, sinh viên cần thực hiện các bước sau:

*   **Thẩm định nguồn gốc:** Chứng chỉ phải được thẩm định nguồn gốc.
*   **Cập nhật lên hệ thống:** Mức điểm của chứng chỉ phải được cập nhật lên hệ thống phần mềm quản lý đào tạo.
*   **Thời điểm thực hiện:** Các công việc trên phải được hoàn tất trước thời điểm nộp đơn đề nghị xét miễn học phần.

Lưu ý: Chứng chỉ phải còn hạn theo quy định tính tới thời điểm nộp đơn xét miễn.",,,
chunks_001_simple_015,06_Quy_dinh_ngoai_ngu_chunks,Các trường hợp ngoại lệ do ai quyết định?,Giám đốc Đại học Bách khoa Hà Nội xem xét quyết định.,"Việc quyết định các trường hợp ngoại lệ tại Đại học Bách khoa Hà Nội được quy định như sau:

*   **Đối với các trường hợp ngoại lệ về phân loại trình độ đầu vào, chương trình môn học và chuẩn ngoại ngữ:**
    *   Khóa 68 trở về sau: Do Ban Đào tạo đề xuất và trình Giám đốc Đại học quyết định.
    *   Khóa 70: Do Ban Đào tạo đề xuất Giám đốc Đại học xem xét quyết định.
    *   Khóa 65, 66, 67: Do đơn vị chức năng quản lý đào tạo đề xuất để Hiệu trưởng quyết định.

*   **Đối với các trường hợp ngoại lệ về đăng ký tốt nghiệp (đại học và kỹ sư):**
    *   Do Hội đồng xét tốt nghiệp quyết định và trình Giám đốc Đại học Bách khoa Hà Nội phê duyệt.",,,
chunks_001_simple_016,06_Quy_dinh_ngoai_ngu_chunks,Quy định áp dụng từ khóa nào?,Từ khóa 70 trở về sau.,"Quy định về ngoại ngữ được áp dụng cho các khóa như sau:

*   **Đối với khóa 70 trở về sau:** Áp dụng Quy định mới từ học kỳ 1 năm học 2025-2026.
*   **Đối với khóa 68 và 69:** Áp dụng Quy định ban hành kèm theo Quyết định tháng 03/2024 (áp dụng từ năm học 2023-2024).
*   **Đối với khóa 67 trở về trước:** Tiếp tục áp dụng các quy định hiện hành cho đến khi kết thúc khóa đào tạo.

**Lưu ý về bảng quy đổi chứng chỉ ngoại ngữ:**
*   Bảng quy đổi tương đương các chứng chỉ ngoại ngữ theo quy định mới áp dụng cho toàn bộ sinh viên các khóa đối với các chứng chỉ được cấp kể từ ngày quy định mới có hiệu lực.
*   Đối với sinh viên khóa 69 trở về trước, nếu mức quy đổi tương đương cùng một chứng chỉ ngoại ngữ giữa quy định mới và quy định cũ có sự khác biệt, sinh viên sẽ được áp dụng mức quy đổi cao hơn trong hai quy định (xác định theo Khung năng lực ngoại ngữ 6 bậc dùng cho Việt Nam).

Bạn có thể xem chi tiết quy định cho khóa 70 [tại đây](https://ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=44574).",,,
chunks_001_simple_017,06_Quy_dinh_ngoai_ngu_chunks,Bảng quy đổi chứng chỉ áp dụng cho ai?,Toàn bộ sinh viên các khóa.,"Bảng quy đổi tương đương các chứng chỉ tiếng Anh được áp dụng cho sinh viên các khóa của Đại học Bách khoa Hà Nội, cụ thể như sau:

*   **Đối với sinh viên khóa K65, K66, K67:** Bảng quy đổi áp dụng để xét đạt chuẩn ngoại ngữ và xét tốt nghiệp theo các điều kiện quy định tại Phụ lục 2.
*   **Đối với sinh viên khóa K68, K69:** Bảng quy đổi áp dụng theo các mức từ Bậc 1.1 đến Bậc 4 (NLNNVN).
*   **Đối với sinh viên khóa K70:** Bảng quy đổi áp dụng theo Bảng 2.1 (kèm theo Quyết định số 10728/QĐ-DHBK ngày 26/9/2025). Kết quả bài kiểm tra TOEIC Placement trong bảng này chỉ dùng để phân loại trình độ xếp lớp và xét miễn học các học phần ngoại ngữ cơ bản, không dùng để xét chuẩn đầu ra.

**Lưu ý chung về điều kiện xét quy đổi:**
*   Chứng chỉ phải được cấp trong vòng 2 năm tính đến thời điểm xét.
*   Đối với khóa K70, các chứng chỉ được quy đổi tương đương chỉ khi dạng thức thi đánh giá đầy đủ 4 kỹ năng (nghe, nói, đọc, viết).
*   Đối với khóa K65, K66, K67: Sinh viên có chứng chỉ 4 kỹ năng (APTIS, TOEFL, IELTS, Cambridge) được quy đổi tương đương với nhau và sang TOEIC (2 kỹ năng) để xét tốt nghiệp. Sinh viên có TOEIC (2 kỹ năng) được quy đổi sang các chứng chỉ 4 kỹ năng để xét đạt chuẩn ngoại ngữ theo số tín chỉ tích lũy (không dùng để xét tốt nghiệp).",,,
chunks_001_simple_018,06_Quy_dinh_ngoai_ngu_chunks,Sinh viên nước ngoài học CTĐT tiếng Việt có áp dụng quy định này không?,Không.,"Theo Quy định về ngoại ngữ đối với sinh viên đại học hình thức chính quy (áp dụng cho khóa 70 trở về sau), quy định này **không áp dụng** cho sinh viên là người nước ngoài theo học các chương trình đào tạo có ngôn ngữ giảng dạy chính là tiếng Việt.",,,
chunks_001_simple_019,06_Quy_dinh_ngoai_ngu_chunks,Phân loại đầu vào ngoại ngữ khác tiếng Anh dựa vào gì?,Dựa trên chứng chỉ quốc tế tương ứng.,Việc phân loại trình độ ngoại ngữ đầu vào đối với sinh viên thuộc chương trình đào tạo có yêu cầu chuẩn đầu ra là ngoại ngữ khác tiếng Anh được căn cứ dựa trên chứng chỉ quốc tế của ngôn ngữ tương ứng.,,,
chunks_001_simple_020,06_Quy_dinh_ngoai_ngu_chunks,Kết quả TOEIC Placement dùng để xét chuẩn đầu ra không?,Không.,"Kết quả bài kiểm tra TOEIC Placement do Đại học Bách khoa Hà Nội phối hợp tổ chức **không** được sử dụng để xét đạt chuẩn ngoại ngữ đầu ra.

Theo quy định, kết quả này chỉ được sử dụng cho các mục đích sau:
* Phân loại trình độ tiếng Anh để xếp lớp.
* Xét miễn học các học phần thuộc khối ngoại ngữ cơ bản.",,,
chunks_001_simple_021,06_Quy_dinh_ngoai_ngu_chunks,TOEFL iBT Home Edition có được công nhận không?,Không.,"Theo quy định tại tài liệu về bảng quy đổi tương đương các chứng chỉ tiếng Anh (kèm theo Quyết định số 10728/QĐ-DHBK ngày 26 tháng 9 năm 2025), Đại học Bách khoa Hà Nội không công nhận sử dụng chứng chỉ tiếng Anh TOEFL iBT theo hình thức Home Edition.",,,
chunks_001_simple_022,06_Quy_dinh_ngoai_ngu_chunks,Chứng chỉ quy đổi cần đủ mấy kỹ năng?,Đầy đủ 4 kỹ năng.,"Theo các tài liệu quy chế hiện có, điều kiện về kỹ năng đối với chứng chỉ quy đổi được quy định như sau:

*   **Đối với khóa K70:** Các chứng chỉ được quy đổi tương đương chỉ khi dạng thức thi đánh giá đầy đủ **4 kỹ năng** (nghe, nói, đọc, viết).
*   **Đối với khóa K68, K69:** 
    *   Sinh viên có các chứng chỉ APTIS, TOEFL, IELTS, Cambridge phải là loại **4 kỹ năng** mới được phép quy đổi tương đương với nhau và quy đổi sang chứng chỉ TOEIC (2 kỹ năng) để xét tốt nghiệp.
    *   Chứng chỉ TOEIC 4 kỹ năng được quy đổi tương đương sang các chứng chỉ khác dựa theo kỹ năng đạt điểm thấp nhất.
*   **Đối với khóa K65, K66, K67:** Các chứng chỉ APTIS, TOEFL, IELTS, Cambridge phải là loại **4 kỹ năng** mới được phép quy đổi tương đương với nhau và quy đổi sang chứng chỉ TOEIC (2 kỹ năng) để xét tốt nghiệp.",,,
chunks_001_multihop_001,06_Quy_dinh_ngoai_ngu_chunks,Sinh viên cần đáp ứng điều kiện gì để được miễn học và được ghi nhận kết quả toàn khóa?,Tổng hợp từ nhiều quy định liên quan.,"Để được miễn học các học phần ngoại ngữ cơ bản (NNCB) và ghi nhận kết quả ""R"" (có giá trị toàn khóa), sinh viên cần đáp ứng các điều kiện sau:

*   **Đạt chứng chỉ ngoại ngữ:** Sinh viên phải đạt được chứng chỉ ngoại ngữ theo quy định tương ứng với trình độ miễn học. Chứng chỉ phải còn hạn tính tới thời điểm nộp đơn xét miễn.
*   **Thẩm định và cập nhật dữ liệu:** Các chứng chỉ ngoại ngữ quốc gia, quốc tế phải được thẩm định nguồn gốc và cập nhật mức điểm lên hệ thống phần mềm quản lý đào tạo trước thời điểm nộp đơn đề nghị xét miễn.
*   **Nộp đơn đúng hạn:** Sinh viên cần nộp đơn đề nghị xét miễn học phần NNCB muộn nhất là 2 tuần trước khi bắt đầu học kỳ theo Khung kế hoạch năm học.
*   **Phân loại trình độ:** Kết quả miễn học dựa trên căn cứ phân loại trình độ ngoại ngữ đầu vào (đối với sinh viên K70) hoặc kết quả phân loại trình độ ngoại ngữ đầu vào theo quy định (đối với các khóa K65, K66, K67).

**Lưu ý về kết quả:**
*   Kết quả miễn học được ghi bằng ký hiệu ""R"" trong dữ liệu học tập.
*   Các học phần NNCB được xếp vào khối kiến thức ngoại ngữ bổ trợ tăng cường và không tính tín chỉ trong chương trình đào tạo chính khóa.",,,
chunks_001_multihop_002,06_Quy_dinh_ngoai_ngu_chunks,Nếu không đăng ký NNCB từ kỳ 3 sẽ ảnh hưởng gì?,Tổng hợp từ nhiều quy định liên quan.,"Theo Điều 4, Khoản 3 của Quy định về ngoại ngữ cơ bản (NNCB), việc đăng ký học song hành các học phần NNCB tương ứng ở mỗi kỳ kể từ kỳ 3 trở đi là **điều kiện bắt buộc** để bạn được đăng ký học tập các học phần khác trong chương trình đào tạo (trừ trường hợp đã học hoặc được miễn học phần).

Do đó, nếu bạn không đăng ký NNCB từ kỳ 3, bạn sẽ không đủ điều kiện để đăng ký các học phần khác trong chương trình đào tạo của mình.",,,
chunks_001_multihop_003,06_Quy_dinh_ngoai_ngu_chunks,Chứng chỉ xét miễn và xét chuẩn đầu ra cần đáp ứng yêu cầu nào?,Tổng hợp từ nhiều quy định liên quan.,"Dựa trên các tài liệu được cung cấp, yêu cầu đối với chứng chỉ tiếng Anh để xét miễn học và xét chuẩn đầu ra như sau:

**1. Yêu cầu chung đối với chứng chỉ:**
*   **Kỹ năng:** Phải đánh giá đầy đủ 4 kỹ năng: nghe, nói, đọc, viết.
*   **Thời hạn:** Chứng chỉ phải được cấp trong vòng 2 năm tính đến thời điểm xét.
*   **Hình thức:** Không công nhận chứng chỉ TOEFL iBT theo hình thức Home Edition.
*   **Quy đổi:** Đối với chứng chỉ TOEIC 4 kỹ năng, việc quy đổi tương đương được thực hiện dựa theo kỹ năng đạt điểm thấp nhất.

**2. Đối với xét miễn học các học phần ngoại ngữ cơ bản:**
*   Kết quả bài kiểm tra TOEIC Placement do Đại học Bách khoa Hà Nội phối hợp tổ chức chỉ được sử dụng để phân loại trình độ, xếp lớp và xét miễn học các học phần thuộc khối ngoại ngữ cơ bản; không được sử dụng để xét đạt chuẩn ngoại ngữ đầu ra.

**3. Đối với xét chuẩn ngoại ngữ đầu ra:**
*   Sinh viên thuộc các chương trình đào tạo chuẩn và chương trình Elitech (tiên tiến, tài năng, hợp tác quốc tế) có ngoại ngữ yêu cầu là tiếng Anh cần có chứng chỉ tiếng Anh quốc tế 4 kỹ năng hoặc chứng chỉ VSTEP tương đương.
*   Chứng chỉ phải còn hiệu lực tại thời điểm xét.
*   Chuẩn đầu ra đối với CTĐT chuẩn (trừ các CTĐT nhóm ngành ngôn ngữ) là đạt trình độ tối thiểu Bậc 3 (theo Bảng 2.1 của Phụ lục II).
*   Đối với CTĐT tài năng, chuẩn đầu ra được quy định bằng văn bản riêng, phù hợp với chuẩn đầu ra CTĐT tài năng trình độ tương ứng do Bộ Giáo dục và Đào tạo ban hành.",,,
chunks_001_multihop_004,06_Quy_dinh_ngoai_ngu_chunks,Sinh viên không đủ điều kiện phân loại sẽ có lộ trình thế nào?,Tổng hợp từ nhiều quy định liên quan.,"Chào bạn, về quy định đối với sinh viên không đủ điều kiện phân loại trình độ ngoại ngữ đầu vào, lộ trình học tập được quy định như sau:

*   **Lộ trình học tập:** Sinh viên không đáp ứng điều kiện phân loại trình độ ngoại ngữ sẽ phải học toàn bộ các học phần ngoại ngữ theo quy định của chương trình đào tạo. Cụ thể, sinh viên sẽ được xếp học từ học phần đầu tiên của khối ngoại ngữ cơ bản tương ứng với từng chương trình đào tạo.
*   **Lưu ý về khối lượng học tập:** Nếu sinh viên không đạt chuẩn ngoại ngữ theo số tín chỉ tích lũy, khối lượng đăng ký học tập trong các học kỳ chính sẽ bị hạn chế (tối đa 14 tín chỉ và tối thiểu 8 tín chỉ). Để gỡ bỏ hạn chế này, sinh viên cần đảm bảo yêu cầu về chuyên cần (tối thiểu 80% số tiết học) khi tham gia các học phần tiếng Anh bổ trợ.

Nếu bạn cần tư vấn chi tiết hơn về kế hoạch học tập cá nhân hoặc gặp khó khăn trong quá trình đăng ký, bạn nên liên hệ với **Cố vấn học tập** tại Trường/Khoa quản lý ngành của mình để được hỗ trợ kịp thời.

Nếu cần xác nhận chính thức về lộ trình cụ thể cho mã ngành của bạn, bạn có thể liên hệ trực tiếp với **Phòng Đào tạo**.",,,
chunks_001_multihop_005,06_Quy_dinh_ngoai_ngu_chunks,Khóa 69 được áp dụng bảng quy đổi mới ra sao?,Tổng hợp từ nhiều quy định liên quan.,"Đối với sinh viên khóa K69, việc áp dụng các quy định về ngoại ngữ được thực hiện như sau:

*   **Bảng quy đổi chứng chỉ:** Bạn có thể tham khảo bảng quy đổi tương đương các chứng chỉ tiếng Anh (từ Bậc 1.1 đến Bậc 4) được cung cấp trong tài liệu, trong đó Bậc 4 (tương đương B2/Level 3) yêu cầu mức điểm tối thiểu như: TOEIC 2 kỹ năng ≥785, IELTS Academic ≥5.5, VSTEP ≥6.0, TOEFL iBT ≥46, v.v.
*   **Quy định cụ thể:** Các quy định ngoại ngữ áp dụng cho khóa K69 (cùng với K70) được cập nhật trên trang thông tin của Phòng Đào tạo, bạn có thể xem chi tiết [tại đây](https://ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=44574) hoặc xem [Infographic tại đây](https://drive.google.com/file/d/1O7_Pm6wbDbHVzvoz1_YaG64GhYG4Qftq/view?usp=sharing).",,,
chunks_001_multihop_006,06_Quy_dinh_ngoai_ngu_chunks,Điều kiện đăng ký học phần khác liên quan NNCB thế nào?,Tổng hợp từ nhiều quy định liên quan.,"Theo Quy định về ngoại ngữ cơ bản (NNCB), điều kiện đăng ký các học phần khác trong chương trình đào tạo liên quan đến NNCB như sau:

*   **Từ học kỳ 3 trở đi:** Việc đăng ký học song hành các học phần NNCB tương ứng ở mỗi kỳ là điều kiện bắt buộc để sinh viên được đăng ký học tập các học phần khác trong chương trình đào tạo.
*   **Trường hợp ngoại lệ:** Điều kiện bắt buộc này không áp dụng đối với sinh viên đã học hoặc đã được miễn các học phần NNCB đó.
*   **Lưu ý:** Sinh viên không được phép hủy các học phần NNCB đã đăng ký học song hành, trừ trường hợp xin rút hoặc chủ động rút toàn bộ đăng ký học tập trong học kỳ.",,,
