id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
4__QD_thi_Olympic_va_DMST_2023_simple_001,Quyết định ban hành Quy định về công tác tổ chức đội tuyển tham dự kỳ thi Olympic và ĐMST tại Đại học Bách khoa Hà Nội do ai ký?,simple,easy,Do PGS.TS. Nguyễn Phong Điền – KT. Giám đốc / Phó Giám đốc Đại học Bách khoa Hà Nội ký.,be759c89-beb4-4d2f-9512-aafa86c90d01,"Quyết định ban hành Quy định về công tác tổ chức đội tuyển tham dự các kỳ thi Olympic môn học và kỳ thi về đổi mới, sáng tạo và khởi nghiệp do PGS.TS. Nguyễn Phong Điền – Phó Giám đốc Đại học Bách khoa Hà Nội ký (với tư cách là người ký thay Giám đốc).","e8b76bfb-5b0f-445f-bd1f-22735b850b47,be759c89-beb4-4d2f-9512-aafa86c90d01,cabe3ce2-a2a1-40d0-a498-dfe199575f8e,318c83f1-4089-499c-92b5-9bf138e4b8e7,c0a0217a-c8af-40ce-af34-bc7f94b790b0,2a57e754-46bd-4fce-bad6-167d2450522e,54942498-f09a-442e-b3a6-bbd5d9828312",rag_v2,rag,7,3338.98,True,good,grounded,complete,Câu trả lời chính xác dựa trên thông tin được cung cấp trong ngữ cảnh về người ký quyết định.,correct,"Câu trả lời đã nêu đúng người ký và chức danh, đảm bảo đầy đủ thông tin như đáp án tham chiếu.",1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
4__QD_thi_Olympic_va_DMST_2023_simple_002,Quyết định về công tác tổ chức đội tuyển thi Olympic và ĐMST tại Bách khoa Hà Nội được áp dụng từ năm học nào?,simple,easy,Được áp dụng từ năm học 2023-2024.,b7b3c4b9-0cda-42ce-8356-7b5701a3d9b7,Tôi không tìm thấy thông tin về năm học áp dụng cụ thể của Quyết định này trong tài liệu hiện có. Tài liệu chỉ nêu quy định được ban hành kèm theo Quyết định số /QĐ-ĐHBK ngày / /2023 của Giám đốc Đại học Bách khoa Hà Nội.,"be759c89-beb4-4d2f-9512-aafa86c90d01,e8b76bfb-5b0f-445f-bd1f-22735b850b47,cabe3ce2-a2a1-40d0-a498-dfe199575f8e,318c83f1-4089-499c-92b5-9bf138e4b8e7,4867c8f4-9a82-4d51-9341-47c7bd4e4c77,c0a0217a-c8af-40ce-af34-bc7f94b790b0,0c6f18da-4bb1-499a-8af2-a3d643cd7203",rag_v2,rag,7,5019.21,True,good,grounded,complete,Ngữ cảnh cung cấp thông tin về việc quy định được ban hành kèm theo Quyết định năm 2023 nhưng không nêu rõ thời điểm bắt đầu áp dụng (năm học nào). Trợ lý đã trả lời chính xác dựa trên dữ liệu có sẵn và xác nhận thông tin không đầy đủ.,incorrect,Câu trả lời được tạo ra không cung cấp được thông tin về năm học áp dụng trong khi câu trả lời tham chiếu đã xác định rõ là năm học 2023-2024.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4__QD_thi_Olympic_va_DMST_2023_simple_003,Quy định về tổ chức đội tuyển thi Olympic và ĐMST tại Bách khoa Hà Nội bao gồm những nội dung chính nào?,simple,easy,"Bao gồm: mục đích, nhiệm vụ và quy trình thực hiện của các đơn vị liên quan; trách nhiệm và quyền lợi của cá nhân tham gia; và phương thức hỗ trợ của Đại học.",0c6f18da-4bb1-499a-8af2-a3d643cd7203,"Quy định về công tác tổ chức đội tuyển tham dự các kỳ thi Olympic môn học và kỳ thi về Đổi mới sáng tạo (ĐMST), khởi nghiệp tại Đại học Bách khoa Hà Nội bao gồm các nội dung chính sau:

*   **Quy trình tuyển chọn và tổ chức đội tuyển:**
    *   Các đơn vị chuyên môn (Trường, Viện, Khoa) lập kế hoạch tổ chức, tuyển chọn và ôn luyện, sau đó trình Giám đốc Đại học phê duyệt thông qua Phòng/Ban chức năng Công tác sinh viên.
    *   Đơn vị chuyên môn có trách nhiệm phân công giảng viên có trình độ cao để bồi dưỡng kiến thức cho đội tuyển.
    *   Đơn vị chuyên môn tổ chức đưa đội tuyển đi thi theo kế hoạch; nếu có thay đổi, Trưởng đoàn phải báo cáo Giám đốc Đại học quyết định.
    *   Sau khi kết thúc kỳ thi, đơn vị chuyên môn phải lập báo cáo kết quả hoạt động gửi Giám đốc Đại học.

*   **Trách nhiệm và quyền lợi của cá nhân tham gia:**
    *   **Trách nhiệm:** Thành viên đội tuyển phải tham dự đầy đủ các khóa bồi dưỡng với thái độ học tập tích cực.
    *   **Quyền lợi:** Được tạo điều kiện dự thi, không phải chi trả chi phí học tập bồi dưỡng và chi phí tham dự kỳ thi.
    *   **Khen thưởng và ưu tiên:** Sinh viên đoạt giải được Giám đốc Đại học khen thưởng; được miễn thi và công nhận điểm học phần hoặc cộng điểm thưởng vào điểm thi kết thúc học phần theo quy định. Giảng viên tham gia bồi dưỡng được ghi nhận thành tích khi bình xét thi đua nếu sinh viên đoạt giải cao.

*   **Vai trò của Phòng/Ban chức năng Công tác sinh viên:**
    *   Tham mưu cho Giám đốc Đại học về công tác tổ chức các kỳ thi.
    *   Chủ trì tổ chức tuyển chọn đội tuyển cho các kỳ thi về ĐMST và khởi nghiệp.
    *   Tư vấn, hướng dẫn các đơn vị chuyên môn tổ chức đoàn thi Olympic môn học.
    *   Đề xuất khen thưởng và tổ chức lễ khen thưởng cho cán bộ, sinh viên đạt thành tích.
    *   Kiểm tra, giám sát các hoạt động liên quan đến công tác tuyển chọn và tổ chức đội tuyển.

Bạn có thể xem chi tiết văn bản quy định [tại đây](https://husteduvn-my.sharepoint.com/:b:/g/personal/khai_tranquang_hust_edu_vn1/EU7K3Ly3sh9Bj3ifsXAtf7QBsltPAyU5PLtY-MDZCprifg?e=0rwnz7).","e8b76bfb-5b0f-445f-bd1f-22735b850b47,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,cabe3ce2-a2a1-40d0-a498-dfe199575f8e,be759c89-beb4-4d2f-9512-aafa86c90d01,cc597d5b-9fa8-4e29-bca2-d2ab70c7080c,318c83f1-4089-499c-92b5-9bf138e4b8e7,5fdad7ac-7516-4844-bd51-ab35f6657e3b",rag_v2,rag,7,5945.1,False,good,hallucinated,complete,"Câu trả lời chứa thông tin bịa đặt (hallucinated) ở phần 'Vai trò của Phòng/Ban chức năng Công tác sinh viên'. Các nội dung về vai trò cụ thể của phòng này trong việc chủ trì tuyển chọn ĐMST, tư vấn, đề xuất khen thưởng, kiểm tra giám sát... không hề xuất hiện trong ngữ cảnh được cung cấp.",correct,"Câu trả lời được tạo ra đã bao quát đầy đủ các nội dung chính được nêu trong câu trả lời tham chiếu (mục đích, nhiệm vụ, quy trình, trách nhiệm, quyền lợi và hỗ trợ) một cách chi tiết và chính xác hơn.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4__QD_thi_Olympic_va_DMST_2023_simple_004,Thành viên đội tuyển tham dự kỳ thi Olympic môn học tại Bách khoa Hà Nội cần đáp ứng điều kiện gì?,simple,easy,Phải là sinh viên hoặc học viên đang học tập tại Đại học Bách khoa Hà Nội.,c90982d1-0a6a-4e9e-a398-e7779bf53aff,"Theo quy định về công tác tổ chức đội tuyển tham dự các kỳ thi Olympic môn học, thành viên đội tuyển cần đáp ứng điều kiện sau:

*   Phải là sinh viên hoặc học viên đang học tập tại Đại học Bách khoa Hà Nội.

Bạn có thể xem chi tiết các quy định liên quan [tại đây](https://husteduvn-my.sharepoint.com/:b:/g/personal/khai_tranquang_hust_edu_vn1/EU7K3Ly3sh9Bj3ifsXAtf7QBsltPAyU5PLtY-MDZCprifg?e=0rwnz7).","c90982d1-0a6a-4e9e-a398-e7779bf53aff,cabe3ce2-a2a1-40d0-a498-dfe199575f8e,e8b76bfb-5b0f-445f-bd1f-22735b850b47,be759c89-beb4-4d2f-9512-aafa86c90d01,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,8506be76-c97f-493a-93aa-77a5abd758ce,54942498-f09a-442e-b3a6-bbd5d9828312",rag_v2,rag,7,2787.57,True,good,grounded,complete,"Câu trả lời đã trích xuất chính xác điều kiện cần thiết từ ngữ cảnh (Điều 2, Khoản 1) và cung cấp nguồn tham khảo đi kèm.",correct,Câu trả lời đã nêu chính xác điều kiện cần thiết giống với đáp án tham chiếu và cung cấp thêm thông tin hữu ích.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_005,Đội tuyển tham dự kỳ thi Đổi mới sáng tạo và khởi nghiệp tại Bách khoa Hà Nội yêu cầu tối thiểu bao nhiêu phần trăm thành viên là sinh viên Bách khoa?,simple,easy,Tối thiểu 50% thành viên trong mỗi đội tuyển phải là sinh viên Đại học Bách khoa Hà Nội.,c90982d1-0a6a-4e9e-a398-e7779bf53aff,"Theo quy định, đội tuyển tham dự kỳ thi về đổi mới, sáng tạo và khởi nghiệp yêu cầu tối thiểu 50% thành viên là sinh viên Đại học Bách khoa Hà Nội.","447c46fa-d9bc-450f-bfee-845a73025fe9,c90982d1-0a6a-4e9e-a398-e7779bf53aff,2a57e754-46bd-4fce-bad6-167d2450522e,9a900a32-a6f7-4daf-87bb-c8e96cce5db7,8e1fdef8-31cb-4bc5-93ea-79b96006f341,0c6f18da-4bb1-499a-8af2-a3d643cd7203,e43ff273-cb92-458d-bd95-ea4fe5776081",rag_v2,rag,7,3830.03,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào Điều 2, khoản 2 của ngữ cảnh được cung cấp.",correct,Câu trả lời đã truyền tải chính xác thông tin về tỷ lệ tối thiểu 50% thành viên là sinh viên Bách khoa Hà Nội theo yêu cầu.,1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
4__QD_thi_Olympic_va_DMST_2023_simple_006,Thành viên đội tuyển thi Đổi mới sáng tạo và khởi nghiệp tại Bách khoa Hà Nội có thể đến từ những đơn vị nào?,simple,easy,"Có thể là sinh viên đang học tại Đại học Bách khoa Hà Nội hoặc các cơ sở giáo dục đại học khác, miễn là tối thiểu 50% là sinh viên Bách khoa.",c90982d1-0a6a-4e9e-a398-e7779bf53aff,"Theo quy định về hoạt động tuyển chọn và tham dự kỳ thi, thành viên đội tuyển tham dự kỳ thi về đổi mới, sáng tạo và khởi nghiệp có thể đến từ:

*   Sinh viên đang học tập tại Đại học Bách khoa Hà Nội.
*   Sinh viên đang học tập tại các cơ sở giáo dục đại học khác.

Lưu ý: Số lượng thành viên trong mỗi đội tuyển phải đảm bảo tối thiểu 50% là sinh viên Đại học Bách khoa Hà Nội.","c90982d1-0a6a-4e9e-a398-e7779bf53aff,447c46fa-d9bc-450f-bfee-845a73025fe9,8e1fdef8-31cb-4bc5-93ea-79b96006f341,8506be76-c97f-493a-93aa-77a5abd758ce,2a57e754-46bd-4fce-bad6-167d2450522e,9a900a32-a6f7-4daf-87bb-c8e96cce5db7,0c6f18da-4bb1-499a-8af2-a3d643cd7203",rag_v2,rag,7,2393.53,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào Điều 2, khoản 2 của ngữ cảnh được cung cấp.",correct,Câu trả lời đã truyền tải đầy đủ và chính xác các thông tin quan trọng từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_007,Mục đích của việc tổ chức đội tuyển tham dự kỳ thi Olympic và ĐMST tại Bách khoa Hà Nội là gì?,simple,easy,"Khuyến khích sự sáng tạo, tích cực trong giảng dạy, học tập và nghiên cứu khoa học; tạo nguồn bồi dưỡng nhân tài; thúc đẩy tinh thần ĐMST và khởi nghiệp trong sinh viên; tạo tâm thế chủ động tìm kiếm việc làm sau tốt nghiệp; góp phần xây dựng thương hiệu và nâng cao vị thế của Đại học Bách khoa Hà Nội.",231f382f-c9ba-4ac5-a7e6-5f3a0a494cb2,"Theo quy định về công tác tổ chức đội tuyển tham dự các kỳ thi Olympic môn học và kỳ thi về đổi mới, sáng tạo và khởi nghiệp, mục đích của việc tổ chức đội tuyển bao gồm:

*   Tuyển chọn, bồi dưỡng đội tuyển và tham dự kỳ thi Olympic cấp quốc gia/quốc tế đối với các môn học/học phần đang được giảng dạy tại Đại học Bách khoa Hà Nội.
*   Tham dự các kỳ thi về đổi mới, sáng tạo và khởi nghiệp dành cho sinh viên do Giám đốc Đại học cử tham dự.

Quy định cũng nêu rõ việc tổ chức này nhằm thực hiện các nhiệm vụ liên quan đến quy trình thực hiện của các đơn vị, xác định trách nhiệm và quyền lợi của cá nhân tham gia, cũng như phương thức hỗ trợ của Đại học đối với các hoạt động này.","/en.wikipedia.org/wiki/Hanoi_University_of_Science_and_Technology,e8b76bfb-5b0f-445f-bd1f-22735b850b47,be759c89-beb4-4d2f-9512-aafa86c90d01,cabe3ce2-a2a1-40d0-a498-dfe199575f8e,0c6f18da-4bb1-499a-8af2-a3d643cd7203,06164494-7524-4a6b-b841-7d2de09b5421,54942498-f09a-442e-b3a6-bbd5d9828312,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee",rag_v2,rag,8,6486.53,False,good,partially_grounded,incomplete,"Ngữ cảnh được cung cấp chỉ liệt kê phạm vi điều chỉnh của quy định (tuyển chọn, bồi dưỡng, tham dự...) chứ không nêu rõ 'mục đích' (ý nghĩa, mục tiêu chiến lược) của việc tổ chức các đội tuyển này là gì. Câu trả lời của trợ lý đã nhầm lẫn giữa 'phạm vi điều chỉnh' với 'mục đích' của hoạt động.",partial,"Câu trả lời được tạo ra tập trung vào quy trình tổ chức và đối tượng tham gia thay vì nêu rõ các mục đích chiến lược như khuyến khích sáng tạo, bồi dưỡng nhân tài và nâng cao thương hiệu trường như trong đáp án tham chiếu.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4__QD_thi_Olympic_va_DMST_2023_simple_008,Đơn vị nào có trách nhiệm lập kế hoạch tổ chức đoàn tham dự kỳ thi Olympic môn học tại Bách khoa Hà Nội?,simple,easy,"Các Trường, Viện hoặc Khoa (đơn vị chuyên môn) phụ trách môn học lập kế hoạch và trình Giám đốc (qua Phòng/Ban Công tác sinh viên) phê duyệt.",e8b76bfb-5b0f-445f-bd1f-22735b850b47,"Theo quy định về công tác tổ chức đội tuyển tham dự các kỳ thi Olympic môn học tại Đại học Bách khoa Hà Nội, đơn vị có trách nhiệm lập kế hoạch tổ chức đoàn tham dự là **đơn vị chuyên môn** (bao gồm các Trường, Viện hoặc Khoa phụ trách môn học đó).

Cụ thể, đơn vị chuyên môn có các trách nhiệm sau:
* Chủ trì phối hợp với các đơn vị liên quan trong Đại học Bách khoa Hà Nội để lập kế hoạch tổ chức đoàn tham dự và trình Giám đốc Đại học (thông qua Phòng/Ban chức năng Công tác sinh viên) phê duyệt.
* Bản kế hoạch bao gồm: Phương án tuyển chọn đội tuyển; kế hoạch tổ chức ôn luyện; kế hoạch tổ chức đoàn tham dự (đề xuất Trưởng đoàn, thành viên, thời gian, phương tiện, nơi lưu trú) và dự toán chi phí, đề xuất hỗ trợ về cơ sở vật chất, kinh phí.
* Chịu trách nhiệm tổ chức ôn luyện cho đội tuyển.
* Cử cán bộ dẫn đoàn tham dự kỳ thi theo kế hoạch đã được phê duyệt.
* Lập báo cáo tổng kết kỳ thi sau khi kết thúc.","/fami.hust.edu.vn/wp-content/uploads/THONG-BAO-OLYMPIC-2025.pdf,/sep.hust.edu.vn/sinh-vien/olympic-vat-ly-sinh-vien,/soict.hust.edu.vn/cuoc-thi-olympic-tin-hoc-bkhn-2024.html,e8b76bfb-5b0f-445f-bd1f-22735b850b47,7e841156-f5f6-491b-b469-916185d70776,cabe3ce2-a2a1-40d0-a498-dfe199575f8e,be759c89-beb4-4d2f-9512-aafa86c90d01,3587ced3-b302-470a-8ff4-4a9c03309165,318c83f1-4089-499c-92b5-9bf138e4b8e7,54942498-f09a-442e-b3a6-bbd5d9828312",rag_v2,rag,10,7834.46,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào các văn bản quy định được cung cấp trong ngữ cảnh (Điều 4 và Điều 9 về đơn vị chuyên môn).",correct,"Câu trả lời đã nêu chính xác đơn vị chịu trách nhiệm lập kế hoạch và quy trình trình phê duyệt như trong đáp án tham chiếu, đồng thời cung cấp thêm thông tin chi tiết bổ trợ mà không làm sai lệch nội dung.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_009,Bản kế hoạch tổ chức đoàn tham dự kỳ thi Olympic môn học tại Bách khoa Hà Nội cần bao gồm những nội dung gì?,simple,easy,"Gồm: phương án tuyển chọn đội tuyển; kế hoạch tổ chức ôn luyện; kế hoạch tổ chức đoàn tham dự (trưởng đoàn, thành viên, thời gian, phương tiện, nơi lưu trú) kèm dự toán chi phí và đề xuất hỗ trợ của Đại học về cơ sở vật chất và kinh phí.",e8b76bfb-5b0f-445f-bd1f-22735b850b47,"Theo Quy định về công tác tổ chức đội tuyển tham dự các kỳ thi Olympic môn học và kỳ thi về đổi mới, sáng tạo và khởi nghiệp, bản kế hoạch tổ chức đoàn tham dự kỳ thi Olympic môn học cần bao gồm các nội dung sau:

*   Phương án tuyển chọn đội tuyển.
*   Kế hoạch tổ chức ôn luyện cho đội tuyển.
*   Kế hoạch tổ chức đoàn tham dự kỳ thi, bao gồm:
    *   Đề xuất Trưởng đoàn và các thành viên của đoàn.
    *   Thời gian thực hiện.
    *   Phương tiện di chuyển và nơi lưu trú.
*   Dự toán chi tiết về chi phí tham dự kỳ thi.
*   Đề xuất hỗ trợ của Đại học về cơ sở vật chất và kinh phí triển khai.","/soict.hust.edu.vn/cuoc-thi-olympic-tin-hoc-bkhn-2024.html,/users.soict.hust.edu.vn/linhdt/drl/STSV.pdf,e8b76bfb-5b0f-445f-bd1f-22735b850b47,cabe3ce2-a2a1-40d0-a498-dfe199575f8e,4867c8f4-9a82-4d51-9341-47c7bd4e4c77,7e841156-f5f6-491b-b469-916185d70776,c0a0217a-c8af-40ce-af34-bc7f94b790b0,0b7bab66-af9b-4aa4-b1b1-4b7327c72776,318c83f1-4089-499c-92b5-9bf138e4b8e7",rag_v2,rag,9,6716.79,True,good,grounded,complete,Câu trả lời đã trích xuất đầy đủ và chính xác các nội dung cần có trong bản kế hoạch tổ chức đoàn tham dự kỳ thi Olympic môn học dựa trên Điều 4 trong ngữ cảnh được cung cấp.,correct,"The generated answer covers all the key components mentioned in the reference answer and presents them in a clear, structured format.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_010,"Khi có sự thay đổi về kế hoạch triển khai trong quá trình tham dự kỳ thi Olympic, Trưởng đoàn phải làm gì?",simple,easy,Trưởng đoàn phải báo cáo Giám đốc Đại học (qua Phòng/Ban chức năng Công tác sinh viên) để quyết định điều chỉnh kế hoạch.,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,"Khi có sự thay đổi về kế hoạch triển khai trong quá trình tham dự kỳ thi Olympic, Trưởng đoàn phải báo cáo Giám đốc Đại học (qua Phòng/Ban chức năng Công tác sinh viên) để quyết định điều chỉnh kế hoạch.","/users.soict.hust.edu.vn/linhdt/drl/STSV.pdf,/soict.hust.edu.vn/cuoc-thi-olympic-tin-hoc-bkhn-2024.html,/soict.hust.edu.vn/bo-phan/trung-tam-may-tinh-va-thuc-hanh,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,e8b76bfb-5b0f-445f-bd1f-22735b850b47,2a57e754-46bd-4fce-bad6-167d2450522e,cabe3ce2-a2a1-40d0-a498-dfe199575f8e,447c46fa-d9bc-450f-bfee-845a73025fe9,7e841156-f5f6-491b-b469-916185d70776,5eb5b7b7-b449-4c7d-8faa-1cc214aa2f23",rag_v2,rag,10,4994.39,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh (Điều 4, khoản 4 của tài liệu quy định về tổ chức đội tuyển thi Olympic).",correct,Câu trả lời được tạo ra hoàn toàn trùng khớp với câu trả lời tham chiếu về mặt nội dung và thông tin.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
