id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
QD_to_chuc_thi_truc_tuyen_simple_001,Quyết định 1791/QĐ-ĐHBK-ĐT về tổ chức thi trực tuyến tại Bách khoa Hà Nội được ban hành vào ngày tháng năm nào?,simple,easy,Ngày 06 tháng 8 năm 2021.,cf8c7863-fa17-4efc-ab07-d4c51a943d4c,Tôi không tìm thấy thông tin về Quyết định 1791/QĐ-ĐHBK-ĐT về tổ chức thi trực tuyến trong tài liệu hiện có.,"c7231541-9cfd-40fe-b795-c457f23ea9cd,4867c8f4-9a82-4d51-9341-47c7bd4e4c77,8834fcd9-3504-4f0d-98d6-43308766adcd,d8b94d89-09a3-4dd9-b442-18c5a76674ca,06164494-7524-4a6b-b841-7d2de09b5421,267aadce-7f4b-4aa2-b84a-e6b6c9fcdc0f,0b7bab66-af9b-4aa4-b1b1-4b7327c72776,/www.facebook.com/dhbkhanoi/posts/quy-%C4%91%E1%BB%8Bnh-ph%C6%B0%C6%A1ng-th%E1%BB%A9c-x%C3%A9t-tuy%E1%BB%83n-t%C3%A0i-n%C4%83ng-%C4%91%E1%BA%A1i-h%E1%BB%8Dc-b%C3%A1ch-khoa-h%C3%A0-n%E1%BB%99i-n%C4%83m-2026/1299971805590000,/soict.hust.edu.vn/thong-tin-tuyen-sinh-2026.html",rag_v2,rag,9,27259.74,False,good,grounded,incomplete,"Ngữ cảnh không có thông tin về Quyết định 1791/QĐ-ĐHBK-ĐT, trợ lý trả lời đúng là không tìm thấy nhưng không trả lời được câu hỏi, cần tìm kiếm thêm.",incorrect,"Generated answer states it cannot find the information, while reference answer provides the specific date August 6, 2021.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_to_chuc_thi_truc_tuyen_simple_002,Hệ thống thi trực tuyến tại Bách khoa Hà Nội bao gồm những phần mềm nào?,simple,easy,"Microsoft Teams (MS Teams), hệ thống Learning Management System (LMS) kết hợp với phần mềm Safe Exam Browser (SEB) và các phần mềm tổ chức thi khác do Hiệu trưởng quyết định.",00389c0c-7125-44f0-a15b-d992823ae0b0,"Theo tài liệu hướng dẫn thi trực tuyến của Trường Đại học Bách khoa Hà Nội, hệ thống thi trực tuyến bao gồm các phần mềm/ứng dụng sau:

- **Microsoft Teams (MS Teams)**
- **Hệ thống Learning Management System (LMS)**
- **Safe Exam Browser (SEB)**","0c752539-cb5d-45ab-a4f0-4930315df9e6,3904419e-d7e8-468e-b683-986c4b6e96fb,8019408e-a714-46d4-bbac-78dfb42353d4,d8b94d89-09a3-4dd9-b442-18c5a76674ca,d639c809-4591-46a3-a375-41ca5dc2d66f,8ccd3744-993e-4140-b91b-691568856c14,1529bcb6-9a0a-462b-8ec0-f46886fb9a7c,/ctt.hust.edu.vn/Upload/Nguyen%20Quoc%20Dat/files/DTDH_QDQC/Hoctap/QD%20ban%20hanh%20QD%20to%20chuc%20thi%20Truc%20tuyen.pdf",rag_v2,rag,8,27944.02,False,bad,hallucinated,incomplete,"Ngữ cảnh không chứa bất kỳ thông tin nào về hệ thống thi trực tuyến. Câu trả lời của trợ lý đưa ra các phần mềm không có trong ngữ cảnh, gây bịa đặt thông tin.",incorrect,Parse error: ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_to_chuc_thi_truc_tuyen_simple_003,Quy định tổ chức thi trực tuyến tại Bách khoa Hà Nội áp dụng cho những loại hình thi nào?,simple,easy,Áp dụng cho thi kết thúc học phần trong chương trình đào tạo; thi/kiểm tra ngoại ngữ để phân loại trình độ và phân lớp học; thi đánh giá năng lực ngoại ngữ theo số tín chỉ tích lũy và chuẩn ngoại ngữ đầu ra.,747e2dfa-5162-44c0-b057-ea008bc56246,"Theo Quy định tổ chức thi theo phương thức trực tuyến (ban hành kèm Quyết định số 1791/QĐ-ĐHBK-ĐT), các hình thức thi trực tuyến được áp dụng bao gồm:

- **Tự luận với đề thi dạng mở**: sinh viên làm bài viết tay trên giấy, chụp ảnh và nộp file (JPG, PNG, PDF) qua hệ thống.
- **Vấn đáp trực tuyến**: có thể giao câu hỏi tại buổi thi hoặc yêu cầu sinh viên chuẩn bị bài tập lớn/tiểu luận nộp trước, sau đó hỏi đáp trực tiếp với giảng viên qua hệ thống.
- **Trắc nghiệm khách quan**: cho câu hỏi với các phương án trả lời sẵn, có thể kết hợp một số câu tự luận.
- **Phối hợp các hình thức trên**.

Chi tiết về từng hình thức được quy định tại **Điều 3** của Quy định này.","b2a74895-0b04-476e-a2a5-259ffa3ba6ba,d9fc3bd3-a9a0-42f7-8100-f567df23b78c,7060d712-5765-4580-891f-7520f4b62f63,e3ba59c3-d749-414d-8416-a492c3c3fe7c,cf8c7863-fa17-4efc-ab07-d4c51a943d4c,d260b4dc-f8de-4bb5-850d-226941c0b923,8694eb8d-09e7-4385-b921-599a7c96d562",rag_v2,rag,7,30422.09,True,good,grounded,complete,"Câu trả lời liệt kê chính xác các loại hình thi trực tuyến (tự luận dạng mở, vấn đáp, trắc nghiệm, phối hợp) dựa trên Điều 3 của ngữ cảnh, không bịa đặt và đầy đủ.",incorrect,"Parse error: {
  ""match"": ""incorrect"",
  ""reason"": ""Generated answer describes exam formats (tự luận, vấn đáp, tr",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_to_chuc_thi_truc_tuyen_simple_004,Có bao nhiêu hình thức thi trực tuyến được áp dụng tại Bách khoa Hà Nội và tên gọi của từng hình thức?,simple,easy,"Bốn hình thức: tự luận với đề thi dạng mở, trắc nghiệm khách quan, vấn đáp trực tuyến, hoặc phối hợp các hình thức trên.",d9fc3bd3-a9a0-42f7-8100-f567df23b78c,"Theo Quy định tổ chức thi theo phương thức trực tuyến (ban hành kèm Quyết định số 1791/QĐ-ĐHBK-ĐT), có **3 hình thức thi trực tuyến** chính được áp dụng:

- **Tự luận với đề thi dạng mở** – sinh viên làm bài viết tay trên giấy, chụp ảnh và nộp file (JPG, PNG, PDF) qua hệ thống.
- **Trắc nghiệm khách quan** – sinh viên chọn phương án đúng từ các đáp án cho sẵn; đề thi có thể kết hợp thêm câu tự luận.
- **Vấn đáp trực tuyến** – bao gồm hỏi-đáp trực tiếp với giảng viên trong buổi thi hoặc đánh giá qua bài tập lớn/tiểu luận nộp trước kết hợp phỏng vấn.

Ngoài ra, các hình thức trên có thể được **phối hợp** với nhau tùy theo đặc thù học phần.","d9fc3bd3-a9a0-42f7-8100-f567df23b78c,cf8c7863-fa17-4efc-ab07-d4c51a943d4c,e3ba59c3-d749-414d-8416-a492c3c3fe7c",rag_v2,rag,3,22039.02,True,good,grounded,complete,"Câu trả lời đúng, đầy đủ và dựa hoàn toàn vào ngữ cảnh.",incorrect,Parse error: ,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_thi_truc_tuyen_simple_005,"Đối với học phần có nhiều lớp và số lượng sinh viên lớn, hình thức thi trực tuyến nào được ưu tiên tại Bách khoa?",simple,easy,Ưu tiên tổ chức thi theo hình thức trắc nghiệm khách quan.,12abd944-cc6b-486f-ac55-2f9bd74b1b06,"Theo tài liệu, đối với học phần có nhiều lớp và số lượng sinh viên lớn, hình thức thi trực tuyến được ưu tiên là **trắc nghiệm khách quan** (Theo Điều 3, mục 3, điểm a).","12abd944-cc6b-486f-ac55-2f9bd74b1b06,747e2dfa-5162-44c0-b057-ea008bc56246,d9fc3bd3-a9a0-42f7-8100-f567df23b78c",rag_v2,rag,3,18466.08,True,good,grounded,complete,"Câu trả lời đúng và đầy đủ, dựa hoàn toàn vào ngữ cảnh, trích dẫn chính xác điều 3 mục 3 điểm a.",correct,"Generated answer correctly states that the priority form of online exam for large courses is trắc nghiệm khách quan, matching the reference answer exactly.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_thi_truc_tuyen_simple_006,"Khi thi tự luận trực tuyến tại Bách khoa, sinh viên nộp bài bằng cách nào và trong bao nhiêu phút sau hết giờ?",simple,easy,Sinh viên chụp ảnh bài thi và tải lên hệ thống thi trực tuyến. Thời gian chụp ảnh và nộp bài tối đa là 10 phút sau hết giờ làm bài. Quá thời gian này bài thi sẽ không được công nhận.,28e75db5-29dc-42f4-8c0e-7b280feb3036,"Theo Quy chế tổ chức thi trực tuyến, Điều 4, khoản 6:

- **Cách nộp bài:** Sinh viên chụp ảnh rõ nét bài thi đã viết tay và tải (upload) lên hệ thống thi trực tuyến.
- **Thời gian nộp bài:** Tối đa **10 phút** sau khi hết giờ làm bài. Quá thời gian này, bài thi sẽ không được công nhận.","/ctt.hust.edu.vn/Upload/Nguyen%20Quoc%20Dat/files/DTDH_QDQC/Hoctap/QD%20ban%20hanh%20QD%20to%20chuc%20thi%20Truc%20tuyen.pdf,/ctt.hust.edu.vn/DisplayWeb/DisplayKehoach?kehoach=25129,/ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=39194,28e75db5-29dc-42f4-8c0e-7b280feb3036,f3007816-161b-4959-a480-80081a8406a9,d9fc3bd3-a9a0-42f7-8100-f567df23b78c,5c926a52-9667-4e30-b5a1-bce0c01c8355,0c7c289c-5e41-42ea-8420-3e41bd0542e4,0a39c202-02fb-4908-89d6-9bddf65af39a,dcffe438-793d-490c-936c-51defbc191a7",rag_v2,rag,10,22421.28,True,good,grounded,complete,"Câu trả lời trích dẫn chính xác quy định từ ngữ cảnh: sinh viên chụp ảnh bài thi và tải lên hệ thống trong tối đa 10 phút sau hết giờ. Đầy đủ, liên quan và trung thực.",incorrect,Parse error: ,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.25,0.4307,1.0,0.1429,1.0,0.25,0.4307
QD_to_chuc_thi_truc_tuyen_simple_007,Sinh viên dự thi trực tuyến tại Bách khoa cần đăng nhập bằng tài khoản gì và cần xuất trình giấy tờ nào?,simple,easy,"Đăng nhập bằng tài khoản của trường cấp và xuất trình thẻ sinh viên và/hoặc chứng minh nhân dân, căn cước công dân.",e2ec6ee0-ea82-4a5d-9895-9598ff5c29ad,"Theo Điều 4 (mục 3) trong tài liệu về yêu cầu đối với người dự thi trực tuyến:

- **Tài khoản đăng nhập**: Sử dụng tài khoản của trường cấp (chính là tài khoản email có dạng `...@sis.hust.edu.vn`).
- **Giấy tờ cần xuất trình**: Thẻ sinh viên và/hoặc Chứng minh nhân dân/Căn cước công dân.","e2ec6ee0-ea82-4a5d-9895-9598ff5c29ad,e82d0dc9-23ec-4df8-9914-ed723a159475,792710f5-a9bf-4f6d-a7c1-4780c52e92fa,9790cfbe-69dc-4501-97c2-156c64de6194,02aa9e31-64fb-494f-a07b-7b741ff6112e",rag_v2,rag,5,17703.13,True,good,grounded,complete,"Câu trả lời dựa đúng vào ngữ cảnh, nêu chính xác tài khoản trường cấp và giấy tờ cần xuất trình, không bịa đặt hay thiếu thông tin.",correct,"Generated answer includes all key facts from the reference (school-issued account, student ID and/or ID card) and adds only a clarifying detail about the email format, without any inaccuracies.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_thi_truc_tuyen_simple_008,Sinh viên thi đánh giá chuẩn ngoại ngữ đầu ra trực tuyến tại Bách khoa cần có thêm thiết bị gì so với thi thông thường?,simple,easy,Cần có thêm thiết bị camera thứ hai phục vụ cho việc giám sát thi.,e2ec6ee0-ea82-4a5d-9895-9598ff5c29ad,"Theo Điều 4 (Các yêu cầu đối với người dự thi), khi thi đánh giá chuẩn ngoại ngữ đầu ra trực tuyến, sinh viên phải có thêm **thiết bị camera thứ hai** để phục vụ giám sát thi, ngoài các thiết bị cơ bản (máy tính có kết nối Internet, camera giám sát, loa/tai nghe và micro) như thi thông thường.","e2ec6ee0-ea82-4a5d-9895-9598ff5c29ad,cc76675a-03f2-4ce9-bd63-e3505995581a,610b4a6c-583b-4291-ae66-6ac3f03ee546",rag_v2,rag,3,36480.55,True,good,grounded,complete,"Câu trả lời dựa chính xác vào ngữ cảnh, chỉ rõ thiết bị camera thứ hai cần thêm, đầy đủ và liên quan trực tiếp đến câu hỏi.",incorrect,"Parse error: {
  ""match"": ""correct"",
  ""reason"": ""Generated answer conveys the same key fact (cần thêm camera thứ",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_thi_truc_tuyen_simple_009,Sinh viên có hành vi gian lận trong thi trực tuyến tại Bách khoa bị xử lý theo quy định nào?,simple,easy,Bị xử lý kỷ luật theo các quy định hiện hành của Bộ Giáo dục và Đào tạo.,28e75db5-29dc-42f4-8c0e-7b280feb3036,"Theo **Điều 4, khoản 7** của văn bản quy định về tổ chức kiểm tra đánh giá trực tuyến, sinh viên có hành vi gian lận trong thi trực tuyến sẽ bị xử lý kỷ luật **theo các quy định hiện hành của Bộ Giáo dục và Đào tạo**.

Ngoài ra, **Điều 7, khoản 2** của Quy chế công tác sinh viên cũng liệt kê hành vi gian lận trong học tập, kiểm tra, thi cử (bao gồm cả thi trực tuyến) là một trong những hành vi sinh viên không được làm. Hành vi cụ thể như quay cóp, mang tài liệu/thiết bị trái phép, sử dụng phần mềm hỗ trợ không được phép, thi hộ, nhờ thi hộ, v.v. đều thuộc diện bị xử lý theo quy định của Bộ GD&ĐT.","28e75db5-29dc-42f4-8c0e-7b280feb3036,f97f50c3-b0c3-4275-9d9d-33bedb81ffad,747e2dfa-5162-44c0-b057-ea008bc56246,0d4cea85-002a-4b23-b036-4663b4482925,5eaa4fca-7a38-4882-9cb3-acc85f8af1eb",rag_v2,rag,5,42125.76,False,bad,hallucinated,incomplete,Failed to parse evaluation: ,correct,"Generated answer includes the key fact that disciplinary action follows current regulations of the Ministry of Education and Training, as stated in the reference, and the additional details are accurate and do not contradict it.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_thi_truc_tuyen_simple_010,"Đối với học phần có từ 30 sinh viên trở lên, thi tự luận dạng mở trực tuyến cần tối thiểu bao nhiêu đề thi cho một kíp thi?",simple,easy,Tối thiểu 05 đề thi cho 1 kíp thi.,65f9798f-2ed9-4295-9068-f3c7fede4afb,"Theo Điều 5, khoản 3a của tài liệu: đối với học phần có từ 30 sinh viên trở lên, thi tự luận với đề thi dạng mở (bao gồm cả hình thức trực tuyến) cần **tối thiểu 05 đề thi cho 1 kíp thi**.","65f9798f-2ed9-4295-9068-f3c7fede4afb,dcffe438-793d-490c-936c-51defbc191a7,d9fc3bd3-a9a0-42f7-8100-f567df23b78c",rag_v2,rag,3,21788.65,True,good,grounded,complete,"Câu trả lời trích dẫn đúng quy định tại Điều 5 khoản 3a, nêu rõ số lượng tối thiểu 05 đề thi cho 1 kíp thi. Thông tin hoàn toàn dựa trên ngữ cảnh, không bịa đặt, và trả lời đầy đủ câu hỏi.",correct,The generated answer conveys the same key fact (tối thiểu 05 đề thi cho 1 kíp thi) as the reference answer.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
