id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
4__QD_thi_Olympic_va_DMST_2023_simple_001,Quyết định ban hành Quy định về công tác tổ chức đội tuyển tham dự kỳ thi Olympic và ĐMST tại Đại học Bách khoa Hà Nội do ai ký?,simple,easy,Do PGS.TS. Nguyễn Phong Điền – KT. Giám đốc / Phó Giám đốc Đại học Bách khoa Hà Nội ký.,be759c89-beb4-4d2f-9512-aafa86c90d01,Tôi không tìm thấy thông tin này trong tài liệu hiện có.,"c7231541-9cfd-40fe-b795-c457f23ea9cd,d8b94d89-09a3-4dd9-b442-18c5a76674ca,d1b6ca77-139d-44dd-b526-070cd79fbf36,38d83e84-a322-45da-872c-02b7e6f25eb8,4867c8f4-9a82-4d51-9341-47c7bd4e4c77,cbfe11ee-3a94-48aa-adc7-4ce767f0000e,0b7bab66-af9b-4aa4-b1b1-4b7327c72776",rag_v2,rag,7,22076.9,True,good,grounded,complete,Thông tin về quyết định này không có trong ngữ cảnh được cung cấp.,incorrect,"The generated answer fails to provide the information requested, whereas the reference answer identifies the specific official who signed the document.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4__QD_thi_Olympic_va_DMST_2023_simple_002,Quyết định về công tác tổ chức đội tuyển thi Olympic và ĐMST tại Bách khoa Hà Nội được áp dụng từ năm học nào?,simple,easy,Được áp dụng từ năm học 2023-2024.,b7b3c4b9-0cda-42ce-8356-7b5701a3d9b7,Tôi không tìm thấy thông tin này trong tài liệu hiện có.,"c7231541-9cfd-40fe-b795-c457f23ea9cd,d8b94d89-09a3-4dd9-b442-18c5a76674ca,38d83e84-a322-45da-872c-02b7e6f25eb8,4867c8f4-9a82-4d51-9341-47c7bd4e4c77,0b7bab66-af9b-4aa4-b1b1-4b7327c72776,616a2ca5-475d-47b8-aa13-e1a539b2434f,93f509f0-fab2-47b8-b53a-ecb613d7f719",rag_v2,rag,7,14393.28,True,good,grounded,complete,Thông tin về quyết định tổ chức đội tuyển thi Olympic và ĐMST không có trong các văn bản ngữ cảnh được cung cấp.,incorrect,Câu trả lời được tạo ra không cung cấp thông tin cần thiết trong khi câu trả lời tham chiếu đã nêu rõ thời điểm áp dụng là năm học 2023-2024.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4__QD_thi_Olympic_va_DMST_2023_simple_003,Quy định về tổ chức đội tuyển thi Olympic và ĐMST tại Bách khoa Hà Nội bao gồm những nội dung chính nào?,simple,easy,"Bao gồm: mục đích, nhiệm vụ và quy trình thực hiện của các đơn vị liên quan; trách nhiệm và quyền lợi của cá nhân tham gia; và phương thức hỗ trợ của Đại học.",0c6f18da-4bb1-499a-8af2-a3d643cd7203,"Theo Quy định về công tác tổ chức đội tuyển tham dự các kỳ thi Olympic môn học và kỳ thi về đổi mới, sáng tạo (ĐMST) và khởi nghiệp, các nội dung chính bao gồm:

* **Phạm vi điều chỉnh:** Quy định các hoạt động tuyển chọn, bồi dưỡng đội tuyển và tham gia các kỳ thi Olympic (cấp quốc gia/quốc tế) và các kỳ thi về ĐMST, khởi nghiệp do Giám đốc Đại học cử tham dự.
* **Thành viên tham gia:**
 * Đối với kỳ thi Olympic: Phải là sinh viên, học viên đang học tập tại ĐHBK Hà Nội.
 * Đối với kỳ thi ĐMST, khởi nghiệp: Có thể là sinh viên ĐHBK Hà Nội hoặc các cơ sở giáo dục khác, nhưng tối thiểu 50% thành viên trong đội tuyển phải là sinh viên ĐHBK Hà Nội.
* **Quy trình tuyển chọn và tổ chức:**
 * Đơn vị chuyên môn (Trường, Viện, Khoa) lập kế hoạch (phương án tuyển chọn, kế hoạch ôn luyện, kế hoạch tham dự, dự toán kinh phí) trình Giám đốc phê duyệt qua Phòng/Ban chức năng Công tác sinh viên.
 * Đơn vị chuyên môn chủ trì tuyển chọn, phân công giảng viên có trình độ cao để bồi dưỡng kiến thức cho đội tuyển.
 * Tổ chức đưa đội tuyển đi thi theo kế hoạch đã phê duyệt; thực hiện nghiêm túc các quy định của ban tổ chức kỳ thi.
 * Trường hợp có thay đổi kế hoạch, Trưởng đoàn phải báo cáo Giám đốc Đại học quyết định.
* **Báo cáo kết quả:** Sau khi kết thúc kỳ thi, đơn vị chuyên môn phải lập báo cáo bằng văn bản về kết quả hoạt động của đoàn gửi Giám đốc Đại học (qua Phòng/Ban chức năng Công tác sinh viên).
* **Trách nhiệm của đơn vị chuyên môn:** Ngoài việc lập kế hoạch và tổ chức ôn luyện, đơn vị chuyên môn còn có trách nhiệm cử cán bộ dẫn đoàn, cán bộ hướng dẫn chuyên môn và phối hợp với Phòng/Ban chức năng Công tác sinh viên trong việc lựa chọn đội tuyển cho các kỳ thi ĐMST, khởi nghiệp.","e8b76bfb-5b0f-445f-bd1f-22735b850b47,0c6f18da-4bb1-499a-8af2-a3d643cd7203,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,318c83f1-4089-499c-92b5-9bf138e4b8e7,be759c89-beb4-4d2f-9512-aafa86c90d01,c90982d1-0a6a-4e9e-a398-e7779bf53aff,7e841156-f5f6-491b-b469-916185d70776",rag_v2,rag,7,11222.52,True,good,grounded,complete,"Câu trả lời đã bao quát đầy đủ các nội dung chính từ ngữ cảnh cung cấp, bao gồm phạm vi, thành viên, quy trình tổ chức và báo cáo. Mặc dù phần trách nhiệm đơn vị chuyên môn có nhắc đến việc 'cử cán bộ dẫn đoàn' và 'phối hợp... trong việc lựa chọn đội tuyển ĐMST' (một số chi tiết diễn giải thêm từ quy trình), nhưng nhìn chung vẫn bám sát nội dung văn bản.",correct,"Câu trả lời được tạo ra cung cấp thông tin chi tiết và đầy đủ hơn, bao quát được các nội dung chính về mục đích, quy trình và trách nhiệm đã nêu trong câu trả lời tham chiếu.",1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
4__QD_thi_Olympic_va_DMST_2023_simple_004,Thành viên đội tuyển tham dự kỳ thi Olympic môn học tại Bách khoa Hà Nội cần đáp ứng điều kiện gì?,simple,easy,Phải là sinh viên hoặc học viên đang học tập tại Đại học Bách khoa Hà Nội.,c90982d1-0a6a-4e9e-a398-e7779bf53aff,"Theo quy định, thành viên đội tuyển tham dự kỳ thi Olympic môn học tại Đại học Bách khoa Hà Nội cần đáp ứng điều kiện sau:

* Phải là sinh viên hoặc học viên đang học tập tại Đại học Bách khoa Hà Nội.","c90982d1-0a6a-4e9e-a398-e7779bf53aff,cc597d5b-9fa8-4e29-bca2-d2ab70c7080c,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,0c6f18da-4bb1-499a-8af2-a3d643cd7203,e8b76bfb-5b0f-445f-bd1f-22735b850b47,7e841156-f5f6-491b-b469-916185d70776,8506be76-c97f-493a-93aa-77a5abd758ce",rag_v2,rag,7,15793.79,True,good,grounded,complete,"Câu trả lời đã trích xuất chính xác điều kiện cần thiết từ Điều 2, khoản 1 của ngữ cảnh cung cấp.",correct,Câu trả lời được tạo ra truyền tải chính xác và đầy đủ thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_005,Đội tuyển tham dự kỳ thi Đổi mới sáng tạo và khởi nghiệp tại Bách khoa Hà Nội yêu cầu tối thiểu bao nhiêu phần trăm thành viên là sinh viên Bách khoa?,simple,easy,Tối thiểu 50% thành viên trong mỗi đội tuyển phải là sinh viên Đại học Bách khoa Hà Nội.,c90982d1-0a6a-4e9e-a398-e7779bf53aff,"Theo quy định, đội tuyển tham dự kỳ thi về đổi mới, sáng tạo và khởi nghiệp yêu cầu số lượng thành viên tối thiểu 50% là sinh viên Đại học Bách khoa Hà Nội.","c90982d1-0a6a-4e9e-a398-e7779bf53aff,447c46fa-d9bc-450f-bfee-845a73025fe9,0c6f18da-4bb1-499a-8af2-a3d643cd7203,2a57e754-46bd-4fce-bad6-167d2450522e,8e1fdef8-31cb-4bc5-93ea-79b96006f341,8506be76-c97f-493a-93aa-77a5abd758ce,5fdad7ac-7516-4844-bd51-ab35f6657e3b",rag_v2,rag,7,12472.8,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong Điều 2, khoản 2 của ngữ cảnh.",correct,Câu trả lời đã truyền tải đầy đủ và chính xác thông tin về tỷ lệ thành viên là sinh viên Bách khoa theo yêu cầu của câu hỏi.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_006,Thành viên đội tuyển thi Đổi mới sáng tạo và khởi nghiệp tại Bách khoa Hà Nội có thể đến từ những đơn vị nào?,simple,easy,"Có thể là sinh viên đang học tại Đại học Bách khoa Hà Nội hoặc các cơ sở giáo dục đại học khác, miễn là tối thiểu 50% là sinh viên Bách khoa.",c90982d1-0a6a-4e9e-a398-e7779bf53aff,"Thành viên đội tuyển tham dự kỳ thi về đổi mới, sáng tạo và khởi nghiệp có thể đến từ các đơn vị sau:

* Sinh viên đang học tập tại Đại học Bách khoa Hà Nội.
* Sinh viên đang học tập tại các cơ sở giáo dục đại học khác.

Lưu ý: Số lượng thành viên trong mỗi đội tuyển phải đảm bảo tối thiểu 50% là sinh viên của Đại học Bách khoa Hà Nội.","c90982d1-0a6a-4e9e-a398-e7779bf53aff,8e1fdef8-31cb-4bc5-93ea-79b96006f341,8506be76-c97f-493a-93aa-77a5abd758ce,2a57e754-46bd-4fce-bad6-167d2450522e,447c46fa-d9bc-450f-bfee-845a73025fe9,7e841156-f5f6-491b-b469-916185d70776,0c6f18da-4bb1-499a-8af2-a3d643cd7203",rag_v2,rag,7,12242.74,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào Điều 2, khoản 2 của ngữ cảnh được cung cấp.",correct,Câu trả lời đã truyền tải đầy đủ và chính xác các thông tin về đối tượng tham gia và quy định tỷ lệ thành viên từ Đại học Bách khoa Hà Nội như trong đáp án tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_007,Mục đích của việc tổ chức đội tuyển tham dự kỳ thi Olympic và ĐMST tại Bách khoa Hà Nội là gì?,simple,easy,"Khuyến khích sự sáng tạo, tích cực trong giảng dạy, học tập và nghiên cứu khoa học; tạo nguồn bồi dưỡng nhân tài; thúc đẩy tinh thần ĐMST và khởi nghiệp trong sinh viên; tạo tâm thế chủ động tìm kiếm việc làm sau tốt nghiệp; góp phần xây dựng thương hiệu và nâng cao vị thế của Đại học Bách khoa Hà Nội.",231f382f-c9ba-4ac5-a7e6-5f3a0a494cb2,"Mục đích của việc tổ chức đội tuyển tham dự các kỳ thi Olympic môn học và kỳ thi về đổi mới, sáng tạo (ĐMST) và khởi nghiệp tại Đại học Bách khoa Hà Nội bao gồm:

* Khuyến khích sự sáng tạo, tích cực trong hoạt động giảng dạy, học tập và nghiên cứu khoa học.
* Tạo nguồn bồi dưỡng và đào tạo nhân tài.
* Thúc đẩy tinh thần đổi mới sáng tạo và khởi nghiệp trong sinh viên.
* Tạo tâm thế chủ động tìm kiếm, tự tạo việc làm cho sinh viên sau khi tốt nghiệp.
* Góp phần xây dựng thương hiệu và nâng cao vị thế của Đại học Bách khoa Hà Nội.","231f382f-c9ba-4ac5-a7e6-5f3a0a494cb2,0c6f18da-4bb1-499a-8af2-a3d643cd7203,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,e8b76bfb-5b0f-445f-bd1f-22735b850b47,c90982d1-0a6a-4e9e-a398-e7779bf53aff,be759c89-beb4-4d2f-9512-aafa86c90d01,5fdad7ac-7516-4844-bd51-ab35f6657e3b",rag_v2,rag,7,37897.58,True,good,grounded,complete,Câu trả lời đã trích dẫn chính xác và đầy đủ mục đích tham dự kỳ thi được quy định tại Điều 3 của tài liệu cung cấp.,correct,"Câu trả lời được tạo ra đã truyền tải đầy đủ và chính xác các mục đích được nêu trong câu trả lời tham chiếu, đồng thời diễn đạt rõ ràng và mạch lạc.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_008,Đơn vị nào có trách nhiệm lập kế hoạch tổ chức đoàn tham dự kỳ thi Olympic môn học tại Bách khoa Hà Nội?,simple,easy,"Các Trường, Viện hoặc Khoa (đơn vị chuyên môn) phụ trách môn học lập kế hoạch và trình Giám đốc (qua Phòng/Ban Công tác sinh viên) phê duyệt.",e8b76bfb-5b0f-445f-bd1f-22735b850b47,"Theo quy định về công tác tổ chức đội tuyển tham dự các kỳ thi Olympic môn học, đơn vị chuyên môn (các Trường, Viện hoặc Khoa phụ trách môn học) có trách nhiệm chủ trì phối hợp với các đơn vị liên quan trong Đại học Bách khoa Hà Nội để lập kế hoạch tổ chức đoàn tham dự kỳ thi Olympic môn học.

Kế hoạch này sau đó cần được trình Giám đốc Đại học (thông qua Phòng/Ban chức năng Công tác sinh viên) để phê duyệt.","e8b76bfb-5b0f-445f-bd1f-22735b850b47,7e841156-f5f6-491b-b469-916185d70776,8506be76-c97f-493a-93aa-77a5abd758ce,5fdad7ac-7516-4844-bd51-ab35f6657e3b,318c83f1-4089-499c-92b5-9bf138e4b8e7,447c46fa-d9bc-450f-bfee-845a73025fe9,be759c89-beb4-4d2f-9512-aafa86c90d01",rag_v2,rag,7,11790.14,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp (Điều 4 và Điều 9).",correct,Câu trả lời đã truyền tải đầy đủ và chính xác các thông tin quan trọng từ đáp án tham chiếu về đơn vị chịu trách nhiệm lập kế hoạch và quy trình phê duyệt.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_009,Bản kế hoạch tổ chức đoàn tham dự kỳ thi Olympic môn học tại Bách khoa Hà Nội cần bao gồm những nội dung gì?,simple,easy,"Gồm: phương án tuyển chọn đội tuyển; kế hoạch tổ chức ôn luyện; kế hoạch tổ chức đoàn tham dự (trưởng đoàn, thành viên, thời gian, phương tiện, nơi lưu trú) kèm dự toán chi phí và đề xuất hỗ trợ của Đại học về cơ sở vật chất và kinh phí.",e8b76bfb-5b0f-445f-bd1f-22735b850b47,"Theo quy định, bản kế hoạch tổ chức đoàn tham dự kỳ thi Olympic môn học tại Đại học Bách khoa Hà Nội cần bao gồm các nội dung sau:

* Phương án tuyển chọn đội tuyển.
* Kế hoạch tổ chức ôn luyện cho đội tuyển.
* Kế hoạch tổ chức đoàn tham dự kỳ thi, bao gồm:
 * Đề xuất Trưởng đoàn và các thành viên của đoàn.
 * Thời gian thực hiện.
 * Phương tiện di chuyển và nơi lưu trú.
* Dự toán chi tiết về chi phí tham dự kỳ thi.
* Đề xuất hỗ trợ của Đại học về cơ sở vật chất và kinh phí triển khai.","e8b76bfb-5b0f-445f-bd1f-22735b850b47,7e841156-f5f6-491b-b469-916185d70776,447c46fa-d9bc-450f-bfee-845a73025fe9,5fdad7ac-7516-4844-bd51-ab35f6657e3b,8506be76-c97f-493a-93aa-77a5abd758ce,c90982d1-0a6a-4e9e-a398-e7779bf53aff,cc597d5b-9fa8-4e29-bca2-d2ab70c7080c",rag_v2,rag,7,11153.63,True,good,grounded,complete,"Câu trả lời liệt kê đầy đủ các nội dung cần có trong bản kế hoạch theo đúng quy định tại Điều 4, Khoản 1 của ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra đã bao quát đầy đủ và chính xác các nội dung cần thiết có trong câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_010,"Khi có sự thay đổi về kế hoạch triển khai trong quá trình tham dự kỳ thi Olympic, Trưởng đoàn phải làm gì?",simple,easy,Trưởng đoàn phải báo cáo Giám đốc Đại học (qua Phòng/Ban chức năng Công tác sinh viên) để quyết định điều chỉnh kế hoạch.,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,"Theo tài liệu quy định về việc tuyển chọn và tổ chức đội tuyển tham dự kỳ thi Olympic, trong trường hợp có sự thay đổi về kế hoạch triển khai, Trưởng đoàn phải báo cáo Giám đốc Đại học (thông qua Phòng/Ban chức năng Công tác sinh viên) để quyết định điều chỉnh kế hoạch.","71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,2a57e754-46bd-4fce-bad6-167d2450522e,e8b76bfb-5b0f-445f-bd1f-22735b850b47,7e841156-f5f6-491b-b469-916185d70776",rag_v2,rag,4,10980.3,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào nội dung tại Điều 4, khoản 4 của ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra truyền tải đầy đủ và chính xác thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
