id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_001,Quyết định 1515/QĐ-ĐHBK-ĐT về tổ chức dạy-học trực tuyến tại Bách khoa Hà Nội được ban hành vào ngày tháng năm nào?,simple,easy,Ngày 29 tháng 6 năm 2021.,d260b4dc-f8de-4bb5-850d-226941c0b923,Tôi không tìm thấy thông tin về ngày ban hành Quyết định 1515/QĐ-ĐHBK-ĐT về tổ chức dạy-học trực tuyến trong các tài liệu hiện có.,"/ctt.hust.edu.vn/Upload/Nguyen%20Quoc%20Dat/files/DTDH_QDQC/Hoctap/QD%20ban%20hanh%20QD%20to%20chuc%20day%20hoc%20tren%20nen%20tang%20CN%20ket%20noi%20-%20truc%20tuyen.pdf,/ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=20176,/www.facebook.com/dhbkhanoi/posts/b%C3%A1ch-khoa-h%C3%A0-n%E1%BB%99i-%C4%91%E1%BB%99t-ph%C3%A1-%C4%91%E1%BB%83-%C4%91%E1%BB%95i-m%E1%BB%9Bi-v%C3%A0-n%C3%A2ng-cao-ch%E1%BA%A5t-l%C6%B0%E1%BB%A3ng-%C4%91%C3%A0o-t%E1%BA%A1otinb%C3%A0i-trong-b/1075037881416728,4867c8f4-9a82-4d51-9341-47c7bd4e4c77,c7231541-9cfd-40fe-b795-c457f23ea9cd,d78b860f-2174-45c7-927e-4abb7c80cbd0,0b7bab66-af9b-4aa4-b1b1-4b7327c72776,78cf807d-0e3e-4781-a9a1-ce3570f1faf1,267aadce-7f4b-4aa2-b84a-e6b6c9fcdc0f,047b5a56-39e3-45fd-a643-ebe5b8f974b8",rag_v2,rag,10,20803.94,False,partial,grounded,incomplete,"Câu trả lời không tìm thấy thông tin là trung thực với ngữ cảnh, nhưng không trả lời được câu hỏi vì ngữ cảnh thiếu chi tiết cụ thể về số quyết định và ngày tháng.",incorrect,"The generated answer does not provide the correct issuance date (June 29, 2021) and instead states it could not find the information.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_002,Quy định dạy-học trực tuyến tại Bách khoa Hà Nội được áp dụng cho những loại hình đào tạo nào?,simple,easy,Áp dụng cho các loại hình đào tạo cấp văn bằng từ trình độ cử nhân đến trình độ tiến sĩ.,b2a74895-0b04-476e-a2a5-259ffa3ba6ba,"Theo **Điều 1** của Quy định tổ chức hoạt động dạy-học trên nền tảng công nghệ kết nối và trực tuyến, quy định này được áp dụng cho **các loại hình đào tạo cấp văn bằng từ trình độ cử nhân đến trình độ tiến sĩ** của Trường Đại học Bách khoa Hà Nội.","b2a74895-0b04-476e-a2a5-259ffa3ba6ba,d260b4dc-f8de-4bb5-850d-226941c0b923,cf8c7863-fa17-4efc-ab07-d4c51a943d4c,b59db2df-eead-4a9d-9150-b4400e361391,5b4496d8-98ba-431d-b3ee-bfa3cac1a914,d7561386-99af-4a6b-a63b-c8be34f13c6b,6b9776ec-364b-450c-83eb-e9c4c19124ce",rag_v2,rag,7,13029.41,True,good,grounded,complete,"Câu trả lời trích dẫn chính xác nội dung Điều 1 của Quy định, nêu rõ phạm vi áp dụng từ trình độ cử nhân đến tiến sĩ, đầy đủ và trung thực với ngữ cảnh.",correct,"The generated answer conveys the exact same key fact (applicable to training types granting degrees from bachelor's to doctoral level) as the reference answer, with only minor additional context that does not alter the meaning.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_003,Dạy-học trực tuyến theo thời gian thực tại Bách khoa Hà Nội ưu tiên sử dụng phần mềm nào?,simple,easy,Ưu tiên Microsoft Teams (MS Teams).,b59db2df-eead-4a9d-9150-b4400e361391,"Dạy-học trực tuyến theo thời gian thực tại Trường Đại học Bách khoa Hà Nội ưu tiên sử dụng phần mềm **Microsoft Teams (MS Teams)**. (Theo Điều 3 về điều kiện thực hiện dạy-học trực tuyến theo thời gian thực, và tài liệu hướng dẫn sử dụng Office 365 và học trực tuyến).","b59db2df-eead-4a9d-9150-b4400e361391,d00d8b97-db4b-464a-823c-979081167e3e,01639421-9da0-41f4-853c-1976160c2896,b2a74895-0b04-476e-a2a5-259ffa3ba6ba,bff9c21a-e42e-4aba-a023-8fb73be20f52,5075916e-0bf3-4b35-bad6-a5032d1948c9,6b9776ec-364b-450c-83eb-e9c4c19124ce",rag_v2,rag,7,28228.87,True,good,grounded,complete,Câu trả lời khớp chính xác với ngữ cảnh: Điều 3 quy định ưu tiên Microsoft Teams (MS Teams) cho dạy-học trực tuyến theo thời gian thực và tài liệu hướng dẫn cũng khẳng định sử dụng Microsoft Teams.,correct,"Generated answer explicitly states the same key fact (Microsoft Teams) as the reference answer, and the additional citation does not introduce any inaccuracy.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_004,"Tại Bách khoa Hà Nội, dạy-học trực tuyến được áp dụng mấy hình thức và tên gọi của từng hình thức là gì?",simple,easy,"Ba hình thức: (a) Dạy-học trực tuyến theo thời gian thực; (b) Dạy-học hỗn hợp (B-Learning); (c) Dạy-học trực tuyến ngoài khung thời khóa biểu để bổ trợ, ôn tập kiến thức.","01639421-9da0-41f4-853c-1976160c2896,5075916e-0bf3-4b35-bad6-a5032d1948c9","Tôi không tìm thấy thông tin về số lượng hình thức và tên gọi cụ thể của từng hình thức dạy-học trực tuyến tại Đại học Bách khoa Hà Nội trong tài liệu hiện có. Tài liệu chỉ đề cập đến các điều kiện thực hiện dạy-học trực tuyến theo thời gian thực (Điều 3) và các quyết định ban hành quy định liên quan, nhưng không liệt kê chi tiết các hình thức áp dụng.","b2a74895-0b04-476e-a2a5-259ffa3ba6ba,55fbb45d-5a41-4b0b-868f-76239ec21945,d260b4dc-f8de-4bb5-850d-226941c0b923,0c752539-cb5d-45ab-a4f0-4930315df9e6,cf8c7863-fa17-4efc-ab07-d4c51a943d4c,b59db2df-eead-4a9d-9150-b4400e361391,6b9776ec-364b-450c-83eb-e9c4c19124ce",rag_v2,rag,7,22793.9,False,good,hallucinated,partial,"Trợ lý nói không tìm thấy thông tin, điều này đúng với ngữ cảnh (relevance good). Tuy nhiên, trợ lý đã thêm thông tin về 'điều kiện thực hiện dạy-học trực tuyến theo thời gian thực (Điều 3)' mà không có trong ngữ cảnh, dẫn đến sai sự thật (faithfulness hallucinated). Do đó, pass là false.",incorrect,"The generated answer states that no information about the forms of online teaching/learning is available, while the reference answer clearly lists three specific forms.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_005,Dạy-học trực tuyến không được áp dụng với loại học phần nào tại Bách khoa Hà Nội?,simple,easy,"Không áp dụng với các học phần (hoặc một phần nội dung học phần) có yêu cầu nâng cao nhận thức qua trải nghiệm thực tế và rèn luyện kỹ năng như thí nghiệm, thực hành, thực tập.",5075916e-0bf3-4b35-bad6-a5032d1948c9,Tôi không tìm thấy thông tin này trong tài liệu hiện có.,"0c752539-cb5d-45ab-a4f0-4930315df9e6,55fbb45d-5a41-4b0b-868f-76239ec21945,d00d8b97-db4b-464a-823c-979081167e3e,8ccd3744-993e-4140-b91b-691568856c14,57ead25a-5a79-44a8-9411-26955a1050c2,bff9c21a-e42e-4aba-a023-8fb73be20f52,c00ae769-a899-4f8a-b886-36c24f55841a",rag_v2,rag,7,22646.5,True,good,grounded,complete,Câu trả lời trung thực dựa trên ngữ cảnh không có thông tin về loại học phần không được dạy-học trực tuyến. Cần tìm kiếm thêm thông tin.,incorrect,"The generated answer states it cannot find the information, while the reference answer provides specific details about which course types are excluded from online teaching.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_006,Tổng số tín chỉ dạy-học trên LMS của các học phần B-Learning không được vượt quá bao nhiêu phần trăm tổng số tín chỉ của chương trình đào tạo?,simple,easy,Không được vượt quá 30% tổng số tín chỉ của chương trình đào tạo.,83d42fb2-ce2f-4afd-aae9-c458efd880a8,"Theo tài liệu tham khảo, tổng số tín chỉ được dạy-học trên LMS của các học phần B-Learning không được vượt quá **30%** tổng số tín chỉ của chương trình đào tạo.","83d42fb2-ce2f-4afd-aae9-c458efd880a8,06ada73c-1835-4f94-8b7f-61d465ebb914,5b4496d8-98ba-431d-b3ee-bfa3cac1a914,6c965fc0-0be0-4751-87d4-47ba6b1aa880,29e39d41-8258-4b90-a89b-65a96c8d4a60,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,5075916e-0bf3-4b35-bad6-a5032d1948c9",rag_v2,rag,7,13623.04,True,good,grounded,complete,"Câu trả lời đúng với thông tin trong ngữ cảnh, trích dẫn chính xác con số 30%, đầy đủ và không có sai sót.",correct,The generated answer states the same key fact as the reference answer — that the total credits for B-Learning courses on LMS must not exceed 30% of the program's total credits.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_007,Thời lượng kiến thức truyền phát trên LMS trong B-Learning tối đa bằng bao nhiêu phần trăm thời lượng học phần?,simple,easy,Tối đa 70% thời lượng của học phần.,29e39d41-8258-4b90-a89b-65a96c8d4a60,"Theo **Điều 4. Điều kiện thực hiện B-Learning**, thời lượng kiến thức được truyền phát trên LMS tối đa là **70%** thời lượng của học phần.","29e39d41-8258-4b90-a89b-65a96c8d4a60,5075916e-0bf3-4b35-bad6-a5032d1948c9,5de4ef9c-bd9e-467a-80fe-356dd0948e2b,83d42fb2-ce2f-4afd-aae9-c458efd880a8,d529986f-38bf-4340-8561-6b013431e153,10373bab-6651-47b6-881d-22da9dadfbd8,a8ed9ddf-812d-4e3c-bcf9-c5bada7350fb",rag_v2,rag,7,14230.62,True,good,grounded,complete,"Câu trả lời trích dẫn đúng thông tin từ ngữ cảnh: thời lượng kiến thức truyền phát trên LMS tối đa là 70% thời lượng học phần. Nội dung khớp, đầy đủ, không bịa đặt.",correct,"Both answers state that the maximum is 70% of the course duration, with the generated answer providing additional context that does not change the core fact.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_008,Điểm quá trình có trọng số tối thiểu là bao nhiêu khi tính điểm học phần B-Learning tại Bách khoa?,simple,easy,"Điểm quá trình có trọng số tối thiểu là 0,3 khi tính điểm học phần.",29e39d41-8258-4b90-a89b-65a96c8d4a60,"Theo Điều 4, khoản 2 của Quy định về B-Learning, **điểm quá trình có trọng số tối thiểu là 0,3** khi tính điểm học phần.","29e39d41-8258-4b90-a89b-65a96c8d4a60,2b0fbec5-5367-4be1-bb76-82c39b262de1,5de4ef9c-bd9e-467a-80fe-356dd0948e2b,5c189589-c46c-460b-87d7-bf63762eaa04,05386dd4-5f59-401e-8233-ce48580ea2ec,06c81241-5745-423c-8095-5474e70f29f1,e32c1875-5a14-4574-8635-081b9bfc8b75",rag_v2,rag,7,16922.16,True,good,grounded,complete,"Câu trả lời trích dẫn đúng quy định tại Điều 4 khoản 2 về B-Learning, cung cấp chính xác trọng số tối thiểu là 0,3, phù hợp với ngữ cảnh.",correct,"The generated answer states the same key fact (điểm quá trình có trọng số tối thiểu là 0,3) as the reference answer, with only an added citation that does not introduce any inaccuracy.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_009,Đối với lớp học phần B-Learning có quy mô từ bao nhiêu người học trở lên phải bố trí trợ lý học tập?,simple,easy,Lớp học phần có quy mô từ 40 người học trở lên phải có tối thiểu một trợ lý học tập.,5de4ef9c-bd9e-467a-80fe-356dd0948e2b,"Theo tài liệu tham khảo, lớp học phần B-Learning có quy mô **từ 40 người học trở lên** phải bố trí tối thiểu một (01) trợ lý học tập.","5de4ef9c-bd9e-467a-80fe-356dd0948e2b,69a4a819-6544-4525-b4be-2a2da9691a94,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0,fa80d01c-3289-4064-81ec-e79a6bd800e2,b696067a-87f6-4130-a37e-1e087edd1a28,29e39d41-8258-4b90-a89b-65a96c8d4a60,a5339503-98cc-4d4b-84d0-1d5df7ebdc9a",rag_v2,rag,7,13323.86,True,good,grounded,complete,"Câu trả lời đúng với ngữ cảnh, trả lời chính xác câu hỏi: lớp B-Learning từ 40 người học trở lên phải bố trí trợ lý học tập.",incorrect,"Parse error: {
  ""match"": ""correct"",
  ""reason"": ""Cả hai câu trả lời đều nêu đúng ngưỡng 40 người học và yêu cầu ",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_010,Trợ lý học tập trong B-Learning có thể là đối tượng nào?,simple,easy,"Sinh viên năm cuối, học viên cao học hoặc nghiên cứu sinh.",5de4ef9c-bd9e-467a-80fe-356dd0948e2b,"Theo Điều 4 của quy định về điều kiện thực hiện B-Learning, **trợ lý học tập** có thể bao gồm các đối tượng sau:

- **Sinh viên năm cuối**
- **Học viên cao học (HVCH)**
- **Nghiên cứu sinh (NCS)**

Các đối tượng này được bố trí tối thiểu một người cho các lớp học phần có quy mô từ 40 người học trở lên, sau khi được tập huấn nghiệp vụ và thông hiểu nội dung học phần.","5de4ef9c-bd9e-467a-80fe-356dd0948e2b,cd00839e-4c70-4f0f-9a98-c9f07f3aa46d,fa80d01c-3289-4064-81ec-e79a6bd800e2,2e44c6a8-8202-4de7-b6d0-bbbecd3885cc,54942498-f09a-442e-b3a6-bbd5d9828312,3d1cafe6-ac00-4452-a909-05a8252d0dba,a5339503-98cc-4d4b-84d0-1d5df7ebdc9a",rag_v2,rag,7,17943.34,True,good,grounded,complete,"Câu trả lời trích dẫn đúng Điều 4, liệt kê chính xác các đối tượng làm trợ lý học tập (sinh viên năm cuối, HVCH, NCS) và điều kiện kèm theo, hoàn toàn dựa trên ngữ cảnh.",correct,"Generated answer lists all three categories exactly as in the reference answer, and the additional context does not introduce any inaccuracies.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
