id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
ITE7_fix_chunks_simple_001,Chương trình đào tạo Công nghệ thông tin toàn cầu (IT-E7 / Global ICT) của Đại học Bách khoa Hà Nội có khối lượng kiến thức toàn khóa là bao nhiêu tín chỉ?,simple,easy,133 tín chỉ.,2ffccdea-96f5-4aaa-9581-779b983f9476,Chương trình Công nghệ thông tin Global ICT (IT-E7) có tổng khối lượng kiến thức toàn khóa là **133 tín chỉ**. (Nguồn: tài liệu chương trình đào tạo IT-E7).,"2ffccdea-96f5-4aaa-9581-779b983f9476,08a8bb6e-240d-4b80-b852-a5d8f4fbe231,13188ea5-14f5-536d-8231-68e47ae637ab,2744defe-51d8-4c3b-967c-81c3a37f2e91,14a3bbdd-a8ca-4711-9f02-985bf908186c,89820eec-c53d-4d1f-936c-68fb8c1e8a4c,eb023a40-0b82-4105-ab49-a178c9dc17cd",rag_v2,rag,7,8956.14,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh (tài liệu ITE7_fix).",correct,Câu trả lời đã cung cấp chính xác số lượng tín chỉ theo yêu cầu của câu hỏi.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
ITE7_fix_chunks_simple_002,"Theo mục tiêu chung của chương trình Công nghệ thông tin toàn cầu (IT-E7), sinh viên tốt nghiệp cần đạt trình độ ngoại ngữ tiếng Anh ở mức nào?",simple,easy,Đủ để giao tiếp và làm việc trong môi trường quốc tế sử dụng tiếng Anh.,233c86c4-f7a7-46d0-b722-5f68bfc361b6,"Theo chuẩn đầu ra trong chương trình Công nghệ thông tin (Global ICT) – IT-E7, sinh viên tốt nghiệp cần đạt trình độ tiếng Anh tối thiểu **TOEIC 650**.","c5b4362d-53ba-4584-aafe-609e87d36808,be784e43-a586-4bae-a895-869eb1a2b05a,a434c1c5-656c-46d4-87d9-cf0d59ec38c5,1b25aa29-25c5-4efb-9d45-7de34d175cb8,eb023a40-0b82-4105-ab49-a178c9dc17cd,08a8bb6e-240d-4b80-b852-a5d8f4fbe231,fb1c2b52-ce8f-48a1-9df9-5cf7a8b744c2",rag_v2,rag,7,11551.39,True,good,grounded,complete,Câu trả lời đã trích xuất chính xác thông tin về chuẩn đầu ra tiếng Anh của chương trình IT-E7 từ ngữ cảnh được cung cấp.,partial,"The generated answer provides a specific score (TOEIC 650) which is not mentioned in the reference answer, and it fails to capture the qualitative requirement of being able to communicate and work in an international environment.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITE7_fix_chunks_simple_003,Chuẩn đầu ra 2.3.3 của chương trình Công nghệ thông tin toàn cầu (IT-E7) yêu cầu sinh viên đạt trình độ tiếng Anh tối thiểu là bao nhiêu điểm TOEIC?,simple,easy,Tối thiểu TOEIC 650 điểm.,a434c1c5-656c-46d4-87d9-cf0d59ec38c5,Chuẩn đầu ra **2.3.3** của chương trình Công nghệ thông tin (Global ICT) – IT-E7 yêu cầu sinh viên đạt trình độ tối thiểu **TOEIC 650**.,"a434c1c5-656c-46d4-87d9-cf0d59ec38c5,40852fba-6e9d-4c21-a405-55e2dea22587,eb023a40-0b82-4105-ab49-a178c9dc17cd,08a8bb6e-240d-4b80-b852-a5d8f4fbe231,1b25aa29-25c5-4efb-9d45-7de34d175cb8,fb1c2b52-ce8f-48a1-9df9-5cf7a8b744c2,0db1712a-4ff5-42c0-af28-2e759190c6f7",rag_v2,rag,7,7740.03,True,good,grounded,complete,"Câu trả lời chính xác, trích dẫn trực tiếp từ ngữ cảnh được cung cấp (mục 2.3.3 trong tài liệu ITE7_fix).",correct,Cả hai câu trả lời đều cung cấp thông tin chính xác về yêu cầu TOEIC 650 điểm cho chuẩn đầu ra 2.3.3 của chương trình IT-E7.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
ITE7_fix_chunks_simple_004,"Trong cấu trúc chung của chương trình Công nghệ thông tin toàn cầu (IT-E7), khối kiến thức Cơ sở và cốt lõi ngành chiếm bao nhiêu tín chỉ?",simple,easy,49 tín chỉ.,4048c721-2b2a-4a78-b11e-479490cef9b1,"Theo **Chương trình giáo dục đại học 2020 – CTĐT Công nghệ thông tin (Global ICT) [IT-E7]** (mục 3.1 Cấu trúc chung của chương trình đào tạo), khối kiến thức **Cơ sở và cốt lõi ngành** chiếm **49 tín chỉ**.","08a8bb6e-240d-4b80-b852-a5d8f4fbe231,13188ea5-14f5-536d-8231-68e47ae637ab,90c56dd2-40b3-4415-bdc6-a9aa28c7f6bd,eb023a40-0b82-4105-ab49-a178c9dc17cd,73b7dd34-a90d-49e5-8b06-de376bd48412,4bd17249-b7e5-4ce4-b3ae-ef4b2d0b4102,06ada73c-1835-4f94-8b7f-61d465ebb914",rag_v2,rag,7,10025.23,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp trong tài liệu ITE7_fix.",correct,Câu trả lời được tạo ra cung cấp chính xác số tín chỉ (49) như trong câu trả lời tham chiếu.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITE7_fix_chunks_simple_005,Chương trình tiếng Anh HUST start của chương trình Công nghệ thông tin toàn cầu (IT-E7) gồm tổng cộng bao nhiêu tín chỉ và học phần FL1141 – Practical Grammar for writing được học vào kỳ nào?,simple,easy,Chương trình tiếng Anh HUST start gồm 25 tín chỉ và học phần FL1141 được học vào kỳ 1.,a578c467-b1fc-4a6d-be66-7b413e256d1e,,"396a72af-68ee-48dc-a26c-04a600d142ab,a578c467-b1fc-4a6d-be66-7b413e256d1e,77b09ab9-3e22-4eac-afce-da7841f70681,554c02b9-5ec3-441a-924c-49bf5e34bfe9,8ccd3744-993e-4140-b91b-691568856c14,13188ea5-14f5-536d-8231-68e47ae637ab,ad7f1ea8-9539-4fa0-9078-a35eaf02a8e0",rag_v2,rag,7,26669.01,False,good,hallucinated,incomplete,"Câu trả lời của trợ lý bị thiếu. Ngoài ra, có sự mâu thuẫn trong ngữ cảnh: mục 3.1 ghi chương trình Tiếng Anh là 6 tín chỉ, nhưng bảng danh mục học phần lại liệt kê danh sách dài với tổng số tín chỉ không khớp với con số 6. Trợ lý cần làm rõ hoặc xác nhận lại thông tin này từ nguồn chính thức.",incorrect,The generated answer is empty and does not provide any information to answer the question.,1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
ITE7_fix_chunks_simple_006,Module 1 — Trí tuệ nhân tạo và Dữ liệu lớn trong khối tự chọn của chương trình Công nghệ thông tin toàn cầu (IT-E7) gồm những học phần nào?,simple,easy,"Gồm: IT4409E – Web technologies and e-Services, IT4785E – Mobile Programming, IT4542E – Management of Software Development, IT4142E – Introduction to Data Science, IT3191E – Machine Learning and Data Mining, IT4441E – User Interface and User Experience.",b76faa6f-a62a-4723-9172-bce5c8f44d9b,"Theo tài liệu chương trình IT-E7, **Module 1 – Trí tuệ nhân tạo và Dữ liệu lớn** (15 tín chỉ) trong khối tự chọn bao gồm các học phần sau:

- **IT4409E** – Web technologies and e-Services (3 tín chỉ, kỳ 6)
- **IT4785E** – Mobile Programming (2 tín chỉ, kỳ 7)
- **IT4542E** – Management of Software Development (2 tín chỉ, kỳ 7)
- **IT4142E** – Introduction to Data Science (2 tín chỉ, kỳ 7)
- **IT3191E** – Machine Learning and Data Mining (3 tín chỉ, kỳ 6)
- **IT4441E** – User Interface and User Experience (3 tín chỉ, kỳ 7)","b76faa6f-a62a-4723-9172-bce5c8f44d9b,8019408e-a714-46d4-bbac-78dfb42353d4,7d206a5c-6475-4181-9b47-b60dbcf52652,55db18f7-0295-41b4-8729-4bb9b01d658c,ac99a827-01b0-40b0-8886-510c26548912,3c044719-5870-42ae-85af-32dcf5a7f3a8,898a94a3-a9a2-4661-99f5-1eb48cb53ba5",rag_v2,rag,7,15441.06,True,good,grounded,complete,Câu trả lời đã liệt kê chính xác danh sách các học phần thuộc Module 1 — Trí tuệ nhân tạo và Dữ liệu lớn dựa trên bảng dữ liệu được cung cấp trong ngữ cảnh.,correct,The generated answer includes all the modules listed in the reference answer and provides additional accurate context regarding the program structure.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
ITE7_fix_chunks_simple_007,Học phần ITSS Internship (IT4948) của chương trình Công nghệ thông tin toàn cầu (IT-E7) được thực hiện vào học kỳ thứ mấy và có bao nhiêu tín chỉ?,simple,easy,"Thực hiện vào học kỳ 6, có 2 tín chỉ.",ccdf2e19-4698-4a38-942d-a1bad1ecb7a4,"Học phần **ITSS Internship (IT4948)** của chương trình Công nghệ thông tin toàn cầu (IT-E7):

- Thực hiện vào **học kỳ 6**.
- Có **2 tín chỉ** (khối lượng 2(0-0-4-4)).

(Theo chương trình giáo dục đại học 2020, ngành IT-E7, phần Thực tập kỹ thuật và Đồ án tốt nghiệp Cử nhân.)","13188ea5-14f5-536d-8231-68e47ae637ab,90c56dd2-40b3-4415-bdc6-a9aa28c7f6bd,8a71de1c-d3c1-4913-b575-362aefa5acef,eb023a40-0b82-4105-ab49-a178c9dc17cd,89b794f0-5aa4-4f9e-8c06-272c17c1e417,9da3748a-e009-4e5f-8980-f4dc201925e9,ccdf2e19-4698-4a38-942d-a1bad1ecb7a4",rag_v2,rag,7,10577.95,False,good,hallucinated,incomplete,Ngữ cảnh cung cấp thông tin về khối lượng tín chỉ của IT4948 (2 tín chỉ) nhưng không đề cập đến học kỳ cụ thể mà học phần này được thực hiện. Việc khẳng định học phần này diễn ra vào 'học kỳ 6' là thông tin không có trong ngữ cảnh (bịa đặt).,correct,Câu trả lời đã cung cấp đầy đủ và chính xác các thông tin về học kỳ và số tín chỉ theo yêu cầu của câu hỏi.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1429,1.0,0.1429,0.3333
ITE7_fix_chunks_simple_008,Học phần MI1114E – Giải tích I trong chương trình Công nghệ thông tin toàn cầu (IT-E7) yêu cầu học song hành với học phần nào?,simple,easy,Học song hành với MI1144E (Đại số).,b99cdb88-b583-4871-b2d6-cdb2b1ab99ed,"Theo tài liệu chương trình IT-E7, học phần **MI1114E – Giải tích I** có học phần song hành là **MI1144E – Đại số (Algebra)**.","b99cdb88-b583-4871-b2d6-cdb2b1ab99ed,5f4cdf83-81a2-4f5a-98f0-67496a229b0f,ca2aebfd-be5e-47df-9c82-69f7fb3fefe8,361b592e-c307-47a6-bf4f-9069019a1203,13a01630-4291-4db4-a52d-d39e8bfcf1a8,d9bf0dc1-6e66-4d25-8de8-713f0c062529,19845710-fee8-45e4-866c-1a1d6d02f4f7",rag_v2,rag,7,8595.43,True,good,grounded,complete,Câu trả lời chính xác dựa trên thông tin được cung cấp trong ngữ cảnh về học phần MI1114E.,correct,Câu trả lời đã cung cấp chính xác thông tin về học phần song hành với MI1114E giống như đáp án tham khảo.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
ITE7_fix_chunks_simple_009,Học phần IT4110E – Tính toán khoa học trong chương trình Công nghệ thông tin toàn cầu (IT-E7) sử dụng công cụ lập trình nào để tính toán?,simple,easy,Sử dụng MATLAB.,4d713a4a-6d5f-4db3-978f-0ae98ecd022c,"Theo tài liệu chương trình IT-E7, học phần **IT4110E – Tính toán khoa học** sử dụng công cụ lập trình **MATLAB** để tính toán. Nội dung học phần có nêu: *""Tính toán và lập trình trên MATLAB; … Ứng dụng Matlab trong tính toán khoa học.""*","078c2c7b-010a-49fb-b222-1bf3525e3335,4d713a4a-6d5f-4db3-978f-0ae98ecd022c,8c3b12d9-74c8-4e03-8559-69dbc08346ff,876c1ac5-4b1b-48f3-a721-fa8b08f87618,680934b4-2ec2-4f30-adfd-f4eea896975e,091ba234-28d3-472a-a394-634b787c2f31,b7d2b326-c86b-4fcf-8e2d-d8306836b6d9",rag_v2,rag,7,11659.31,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã nêu chính xác công cụ MATLAB theo yêu cầu của câu hỏi và cung cấp thêm thông tin xác thực từ nội dung học phần.,1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
ITE7_fix_chunks_simple_010,Học phần IT2120 – Kiến thức máy tính trong chương trình Công nghệ thông tin toàn cầu (IT-E7) có tỷ lệ đánh giá như thế nào?,simple,easy,40% điểm quá trình và 60% điểm thi.,428552e0-1ba2-49e2-ae97-df986de9e215,"Tôi không tìm thấy thông tin về học phần IT2120 – Kiến thức máy tính trong các tài liệu tham khảo được cung cấp. Các tài liệu hiện có chỉ đề cập đến quy định ngoại ngữ và danh mục học phần tiếng Nhật/Pháp, không bao gồm tỷ lệ đánh giá của môn học này.","554c02b9-5ec3-441a-924c-49bf5e34bfe9,4017170b-cb68-4dd8-a42b-247851257060,3815b690-92fc-4c4f-be68-1d7fc7899b38,08a8bb6e-240d-4b80-b852-a5d8f4fbe231,ad7f1ea8-9539-4fa0-9078-a35eaf02a8e0,13188ea5-14f5-536d-8231-68e47ae637ab,eb023a40-0b82-4105-ab49-a178c9dc17cd",rag_v2,rag,7,17844.78,True,good,grounded,complete,Ngữ cảnh được cung cấp không chứa thông tin về học phần IT2120. Trợ lý đã trả lời đúng là không tìm thấy thông tin trong ngữ cảnh.,incorrect,"The generated answer fails to provide the requested information, whereas the reference answer provides the specific grading ratio.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
