id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_001,Quyết định 5777/QĐ-ĐHBK về quản lý sinh viên nước ngoài tại Đại học Bách khoa Hà Nội được ban hành vào ngày tháng năm nào?,simple,easy,Ngày 18 tháng 7 năm 2023.,56b2f15f-466c-40f3-9ec2-b29c81b15872,Quyết định 5777/QĐ-ĐHBK được ban hành vào ngày **18 tháng 7 năm 2023**.,"56b2f15f-466c-40f3-9ec2-b29c81b15872,54942498-f09a-442e-b3a6-bbd5d9828312,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0,ea86d08d-0051-4f6f-a93e-3a2983ccc1c8,4867c8f4-9a82-4d51-9341-47c7bd4e4c77,4e61e3db-8dbf-4d51-b85d-c983c1607dd3,616a2ca5-475d-47b8-aa13-e1a539b2434f",rag_v2,rag,7,6684.74,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh (văn bản 5._Quy_định_QLSV_nước_ngoài_2023).",correct,"Câu trả lời đã cung cấp chính xác ngày, tháng, năm ban hành quyết định như trong đáp án tham chiếu.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_002,Lưu học sinh Hiệp định tại Đại học Bách khoa Hà Nội là những đối tượng nào?,simple,easy,"Là sinh viên nước ngoài được tiếp nhận học tập dài hạn tại Đại học Bách khoa Hà Nội theo các Hiệp định, thỏa thuận của Chính phủ Việt Nam với các đối tác nước ngoài.",07c0b91d-2e67-46fa-89d7-313c05fd4a6d,"Theo Quy định quản lý, hỗ trợ sinh viên nước ngoài học tập tại Đại học Bách khoa Hà Nội:

- **Lưu học sinh Hiệp định** là sinh viên nước ngoài được tiếp nhận học tập dài hạn tại ĐHBK Hà Nội theo các Hiệp định, thỏa thuận của Chính phủ Việt Nam với các đối tác nước ngoài.","54942498-f09a-442e-b3a6-bbd5d9828312,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0,07c0b91d-2e67-46fa-89d7-313c05fd4a6d,8fbc8520-f66a-4849-a64e-b3e5086459f2,1158a7c9-5eef-4bfc-9f4b-457edc9e5c2a,85debcbb-bd09-4e85-abd6-75ed036c1028,c6e404c2-99af-4697-bf94-f2f834ec2282",rag_v2,rag,7,15309.39,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra truyền tải chính xác và đầy đủ thông tin như câu trả lời tham chiếu.,1.0,0.3333,1.0,0.3333,0.5,1.0,0.2,1.0,0.3333,0.5,1.0,0.1429,1.0,0.3333,0.5
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_003,Lưu học sinh ngoài Hiệp định tại Đại học Bách khoa Hà Nội là những đối tượng nào?,simple,easy,"Là sinh viên nước ngoài được tiếp nhận học tập dài hạn hoặc học tích lũy tín chỉ (từ 1 học kỳ trở lên) theo thỏa thuận, hợp đồng đào tạo ký kết giữa Đại học Bách khoa Hà Nội với cá nhân sinh viên hoặc các tổ chức, cá nhân gửi đào tạo, tài trợ học bổng.",8fbc8520-f66a-4849-a64e-b3e5086459f2,"Theo Quy định quản lý, hỗ trợ sinh viên nước ngoài học tập tại Đại học Bách khoa Hà Nội (và văn bản 5._Quy_định_QLSV_nước_ngoài_2023, Điều 1), **lưu học sinh ngoài Hiệp định** là:

- Sinh viên nước ngoài được tiếp nhận học tập dài hạn **hoặc** học tích lũy tín chỉ (từ 1 học kỳ trở lên) tại ĐHBK Hà Nội.
- Cơ sở tiếp nhận dựa trên thỏa thuận, hợp đồng đào tạo ký kết giữa ĐHBK Hà Nội với:
  - Cá nhân sinh viên,
  - Hoặc các tổ chức, cá nhân gửi đào tạo, tài trợ học bổng cho sinh viên.","8fbc8520-f66a-4849-a64e-b3e5086459f2,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0,54942498-f09a-442e-b3a6-bbd5d9828312,b213a748-d470-4615-a5c4-b0c057f9b5fb,07c0b91d-2e67-46fa-89d7-313c05fd4a6d,7536260a-73f1-4306-88eb-33822beb25a0,0c42364f-64a4-499f-b3d5-e045a574f702",rag_v2,rag,7,18535.72,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,"The generated answer conveys the same information as the reference answer, with a clearer structure.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_004,Lưu học sinh trao đổi tại Đại học Bách khoa Hà Nội là những đối tượng nào?,simple,easy,"Là người học nước ngoài đến thực tập, nghiên cứu, trao đổi theo các thỏa thuận, dự án, chương trình hợp tác của Đại học Bách khoa Hà Nội hoặc các đơn vị thuộc/trực thuộc.",8fbc8520-f66a-4849-a64e-b3e5086459f2,"Theo **Quy định quản lý, hỗ trợ sinh viên nước ngoài học tập tại Đại học Bách khoa Hà Nội** (và tài liệu *5._Quy_định_QLSV_nước_ngoài_2023*), **Lưu học sinh trao đổi** được định nghĩa là:

- Người học nước ngoài đến **thực tập, nghiên cứu, trao đổi** theo các thỏa thuận, dự án, chương trình hợp tác của ĐHBK Hà Nội hoặc các đơn vị thuộc/trực thuộc ĐHBK Hà Nội.","2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0,8fbc8520-f66a-4849-a64e-b3e5086459f2,54942498-f09a-442e-b3a6-bbd5d9828312,fcc28993-fe62-4ee0-a124-14e93d2b5ede,cbdaf934-cb74-4f9d-927d-6dd8986b664f,c6e404c2-99af-4697-bf94-f2f834ec2282,a8a28e34-df56-4cde-85f8-dabfa212c436,07c0b91d-2e67-46fa-89d7-313c05fd4a6d",rag_v2,rag,8,15047.53,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,"Câu trả lời được tạo ra truyền tải đầy đủ và chính xác thông tin từ câu trả lời tham chiếu, đồng thời bổ sung nguồn dẫn chứng cụ thể.",1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_005,Hồ sơ quản lý lưu học sinh học tập dài hạn tại Đại học Bách khoa Hà Nội cần có những giấy tờ gì?,simple,easy,"Gồm: lý lịch tóm tắt có dán ảnh (1 bản); quyết định tiếp nhận của Đại học (1 bản); bản sao hộ chiếu có thị thực nhập cảnh còn thời hạn (1 bản); bản sao bảo hiểm y tế còn hiệu lực; ảnh 4x6cm chụp không quá 6 tháng (4 ảnh); các văn bản, quyết định liên quan (nếu có).",8502405d-fb25-42ca-9d31-770bc2d5e0a4,"Hồ sơ quản lý LHS học tập dài hạn (và LHS học tích lũy tín chỉ) gồm các giấy tờ sau (theo Điều 2, Chương I, Quy định quản lý, hỗ trợ sinh viên nước ngoài):

- Lý lịch tóm tắt có dán ảnh (theo mẫu): 1 bản  
- Quyết định tiếp nhận của ĐHBK Hà Nội: 1 bản  
- Bản sao hộ chiếu có thị thực nhập cảnh Việt Nam còn thời hạn: 1 bản  
- Bản sao bảo hiểm y tế có giá trị trong thời hạn LHS thực hiện trao đổi/tại ĐHBK Hà Nội  
- Ảnh cỡ 4×6 cm (chụp không quá 6 tháng tính đến ngày nộp hồ sơ): 4 ảnh  
- Các văn bản, quyết định liên quan trực tiếp đến LHS (nếu có) trong quá trình học tập tại ĐHBK Hà Nội","/users.soict.hust.edu.vn/linhdt/drl/STSV.pdf,/sdh.hust.edu.vn/Default.aspx?scid=23&CategoryID=130,/ts.hust.edu.vn/tin-tuc/thong-tin-tuyen-sinh-dai-hoc-chinh-quy-nam-2026,54942498-f09a-442e-b3a6-bbd5d9828312,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0,fcc28993-fe62-4ee0-a124-14e93d2b5ede,cbdaf934-cb74-4f9d-927d-6dd8986b664f,8502405d-fb25-42ca-9d31-770bc2d5e0a4,a8a28e34-df56-4cde-85f8-dabfa212c436,874f739b-4012-4751-ac09-16f9062ecc98,4867c8f4-9a82-4d51-9341-47c7bd4e4c77",rag_v2,rag,11,26647.98,False,good,hallucinated,incomplete,"Mặc dù câu trả lời liệt kê các giấy tờ cụ thể, nhưng thông tin này không có trong ngữ cảnh được cung cấp. Ngữ cảnh chỉ đề cập đến định nghĩa về lưu học sinh và cung cấp đường dẫn đến văn bản quy định, không liệt kê chi tiết danh mục hồ sơ quản lý. Do đó, câu trả lời bị coi là bịa đặt thông tin (hallucinated).",correct,The generated answer includes all the required documents listed in the reference answer and provides additional context without contradicting the original information.,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.2,0.3869,1.0,0.1429,1.0,0.2,0.3869
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_006,Lưu học sinh tại Đại học Bách khoa Hà Nội có được xét cấp học bổng không?,simple,easy,"Có, lưu học sinh được xét/đăng ký xét cấp các loại học bổng dành cho sinh viên Đại học Bách khoa Hà Nội.",40828341-95ce-4b09-b4aa-6a90ba4643b1,"Có. Theo Điều 3 (khoản 8) của Quy định quản lý, hỗ trợ sinh viên nước ngoài học tập tại Đại học Bách khoa Hà Nội, lưu học sinh được quyền **xét/đăng ký xét cấp các loại học bổng dành cho sinh viên ĐHBK Hà Nội**.","2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0,40828341-95ce-4b09-b4aa-6a90ba4643b1,eb93021c-c166-41d3-8ce2-7bab03c2cbef,54942498-f09a-442e-b3a6-bbd5d9828312,44f35944-3bf7-4ddb-84fc-e1570e33919f,61ad4466-603d-4799-a251-6382f4db1234,3ae29a11-42b1-4ad0-aca6-a24f12b9f173",rag_v2,rag,7,15327.1,True,good,grounded,complete,"Câu trả lời chính xác, trích dẫn đúng nguồn và điều khoản trong ngữ cảnh được cung cấp.",correct,Câu trả lời đã truyền tải đầy đủ thông tin chính xác từ đáp án tham chiếu và bổ sung thêm căn cứ pháp lý cụ thể.,1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_007,Lưu học sinh tại Đại học Bách khoa Hà Nội được hỗ trợ các thủ tục gì liên quan đến thị thực nhập cảnh?,simple,easy,"Được hỗ trợ làm các thủ tục cấp, gia hạn, thay đổi thị thực nhập cảnh phù hợp với kế hoạch học tập tại Đại học Bách khoa Hà Nội.",40828341-95ce-4b09-b4aa-6a90ba4643b1,"Theo Quy định quản lý, hỗ trợ sinh viên nước ngoài học tập tại Đại học Bách khoa Hà Nội, lưu học sinh được hỗ trợ các thủ tục liên quan đến thị thực nhập cảnh như sau:

- **Được hỗ trợ làm thủ tục cấp, gia hạn, thay đổi thị thực nhập cảnh** phù hợp với kế hoạch học tập tại trường (theo Điều 3, khoản 7).
- **Quy trình thực hiện** (theo Điều 6):
  - Lưu học sinh có nhu cầu cần chuẩn bị hồ sơ theo mẫu quy định.
  - Gửi hồ sơ đến **Phòng/Ban chức năng Công tác sinh viên** nếu là LHS Hiệp định hoặc LHS ngoài Hiệp định; đến **Phòng/Ban chức năng Hợp tác đối ngoại** nếu là LHS trao đổi.
  - Đề nghị được giải quyết theo quy định hiện hành của cơ quan quản lý xuất, nhập cảnh Việt Nam và của trường.
  - Lưu học sinh phải trả lệ phí cấp, gia hạn/thay đổi thị thực theo quy định của Nhà nước Việt Nam.","54942498-f09a-442e-b3a6-bbd5d9828312,40828341-95ce-4b09-b4aa-6a90ba4643b1,44f35944-3bf7-4ddb-84fc-e1570e33919f,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0,8502405d-fb25-42ca-9d31-770bc2d5e0a4,7b92ab2b-5cc3-4278-8e44-abc1733a4c13,07c0b91d-2e67-46fa-89d7-313c05fd4a6d",rag_v2,rag,7,20955.81,False,good,hallucinated,partial,"Câu trả lời đã cung cấp thông tin chính xác về quyền lợi hỗ trợ thị thực dựa trên Điều 3, khoản 7 của ngữ cảnh. Tuy nhiên, phần 'Quy trình thực hiện' (Điều 6) không hề xuất hiện trong các đoạn văn bản được cung cấp. Việc tự ý đưa thêm quy trình vào là vi phạm tính trung thực (hallucinated).",correct,The generated answer includes all the information from the reference answer and provides additional relevant details regarding the procedure and responsibilities.,1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_008,Tập thể lưu học sinh cùng một nước tại Đại học Bách khoa Hà Nội có thể chọn ai để làm đầu mối liên hệ với Đại học?,simple,easy,Tập thể lưu học sinh cùng một nước được cử đại diện làm đầu mối liên hệ với Đại học để giải quyết những việc có liên quan đến tập thể lưu học sinh nước mình.,40828341-95ce-4b09-b4aa-6a90ba4643b1,"Theo Quy định quản lý, hỗ trợ sinh viên nước ngoài (Điều 3, quyền lợi của lưu học sinh), tập thể lưu học sinh cùng một nước được **cử đại diện** làm đầu mối liên hệ với Đại học để giải quyết các việc liên quan đến tập thể đó.","2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0,54942498-f09a-442e-b3a6-bbd5d9828312,40828341-95ce-4b09-b4aa-6a90ba4643b1,1158a7c9-5eef-4bfc-9f4b-457edc9e5c2a,0c42364f-64a4-499f-b3d5-e045a574f702,85debcbb-bd09-4e85-abd6-75ed036c1028,c6e404c2-99af-4697-bf94-f2f834ec2282",rag_v2,rag,7,25480.96,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp (Điều 3, khoản 3 của Quy định quản lý, hỗ trợ sinh viên nước ngoài).",correct,Câu trả lời đã truyền tải đầy đủ thông tin chính từ đáp án tham khảo và bổ sung thêm căn cứ pháp lý một cách chính xác.,1.0,0.3333,1.0,0.3333,0.5,1.0,0.2,1.0,0.3333,0.5,1.0,0.1429,1.0,0.3333,0.5
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_009,Lưu học sinh tại Đại học Bách khoa Hà Nội có bắt buộc phải có bảo hiểm y tế không và cần đăng ký khám chữa bệnh ở đâu?,simple,easy,"Có, lưu học sinh bắt buộc phải có bảo hiểm y tế và đăng ký khám, chữa bệnh tại một trong các bệnh viện tại Hà Nội hoặc Trung tâm Y tế của Đại học Bách khoa Hà Nội trong toàn bộ quá trình học tập.",44f35944-3bf7-4ddb-84fc-e1570e33919f,"Chào bạn, về vấn đề bảo hiểm y tế (BHYT) đối với lưu học sinh tại Đại học Bách khoa Hà Nội, tôi xin cung cấp thông tin như sau:

1. **Quy định về BHYT:** Lưu học sinh **bắt buộc** phải có bảo hiểm y tế trong toàn bộ quá trình học tập tại Đại học Bách khoa Hà Nội. Đây là một trong những trách nhiệm bắt buộc của lưu học sinh khi học tập tại trường.

2. **Địa điểm khám, chữa bệnh:** Lưu học sinh có thể đăng ký khám, chữa bệnh tại:
   - Trung tâm Y tế của Đại học Bách khoa Hà Nội (địa chỉ: số 5 phố Tạ Quang Bửu, cạnh KTX nhà B10).
   - Hoặc các bệnh viện khác tại Hà Nội.

3. **Lưu ý:**
   - Nhà trường có bộ phận hỗ trợ tư vấn về việc mua bảo hiểm và khám, chữa bệnh cho lưu học sinh.
   - Nếu cần hỗ trợ chi tiết hoặc giải đáp các thắc mắc cụ thể, bạn có thể liên hệ trực tiếp với chuyên viên phụ trách công tác lưu học sinh: **Anh Nguyễn Quốc Đạt** (Email: dat.nguyenquoc@hust.edu.vn; Địa điểm: Bàn 8, phòng 202A-C1).

Nếu cần xác nhận chính thức hoặc các thủ tục hành chính liên quan, bạn nên liên hệ trực tiếp với Phòng Đào tạo để được hướng dẫn cụ thể.","5c706c54-e110-4d33-904d-7f49c91d0a39,e2336e32-5532-4a31-9810-8d086c348eeb,0e407510-3c1b-4a3c-8008-ef02d280b5a7,cc7e2658-e01e-4d35-afb5-b1bcaf697e74,7b0fcd0c-4cb9-46f9-9828-3f4593e06388,4314bf42-cf4f-4b19-8298-fc39a7b24488,496f8813-537b-4893-b751-bdbc59085d37,44f35944-3bf7-4ddb-84fc-e1570e33919f,40828341-95ce-4b09-b4aa-6a90ba4643b1,8502405d-fb25-42ca-9d31-770bc2d5e0a4,f724ba64-2b4e-4d8f-a8c0-26fd38e480da,8fbc8520-f66a-4849-a64e-b3e5086459f2,07c0b91d-2e67-46fa-89d7-313c05fd4a6d,4d982f49-7443-47b7-8e38-88037215cd43",agent,complex,14,3805.47,True,good,grounded,complete,"Câu trả lời đã trích xuất chính xác thông tin từ tài liệu quy định đối với lưu học sinh (Điều 4, mục 7) và cung cấp thông tin liên hệ hỗ trợ phù hợp từ ngữ cảnh.",correct,"Câu trả lời đã cung cấp đầy đủ thông tin chính xác về việc bắt buộc mua bảo hiểm y tế và địa điểm khám chữa bệnh, đồng thời bổ sung thêm các thông tin hỗ trợ hữu ích.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_010,Lưu học sinh tại Đại học Bách khoa Hà Nội có trách nhiệm gì về việc đóng học phí?,simple,easy,"Phải đóng học phí đầy đủ, đúng hạn theo quy định hiện hành của Đại học Bách khoa Hà Nội đối với lưu học sinh.",44f35944-3bf7-4ddb-84fc-e1570e33919f,"Theo **Điều 4, khoản 8** của Quy định quản lý, hỗ trợ sinh viên nước ngoài học tập tại Đại học Bách khoa Hà Nội, lưu học sinh có trách nhiệm:

- **Đóng học phí đầy đủ, đúng hạn** theo quy định hiện hành của ĐHBK Hà Nội đối với lưu học sinh.","44f35944-3bf7-4ddb-84fc-e1570e33919f,54942498-f09a-442e-b3a6-bbd5d9828312,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0,07c0b91d-2e67-46fa-89d7-313c05fd4a6d,0b8da89f-51d2-48ec-9752-ade4b2dd1456,ba5ffe2a-b465-4912-bac3-ab63163a5e55,e7cb5ced-e3c0-4995-86b6-4b381e2844ab,40828341-95ce-4b09-b4aa-6a90ba4643b1",rag_v2,rag,8,8090.68,True,good,grounded,complete,"Câu trả lời chính xác, trích dẫn đúng nguồn từ ngữ cảnh được cung cấp và giải quyết đầy đủ câu hỏi của người dùng.",correct,Câu trả lời được tạo ra đã truyền tải đầy đủ thông tin chính từ câu trả lời tham chiếu và cung cấp thêm thông tin cụ thể về căn cứ quy định.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
