id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
1__QD_Hoc_bong_KKHT_2023_simple_001,Quyết định ban hành Quy định xét cấp học bổng KKHT tại Đại học Bách khoa Hà Nội do ai ký?,simple,easy,Do PGS.TS. Nguyễn Phong Điền – KT. Giám đốc / Phó Giám đốc Đại học Bách khoa Hà Nội ký.,89046781-0122-48eb-85c2-7baed599923d,"Theo tài liệu tham khảo, Quyết định về việc ban hành Quy định xét cấp học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội do PGS.TS. Nguyễn Phong Điền – KT. Giám đốc / Phó Giám đốc ký.","89046781-0122-48eb-85c2-7baed599923d,0b8da89f-51d2-48ec-9752-ade4b2dd1456,eb93021c-c166-41d3-8ce2-7bab03c2cbef,51697373-bff8-4e3d-b4b7-0445464c1e79,56b2f15f-466c-40f3-9ec2-b29c81b15872,7bcc6ba4-22ec-4e2c-9073-4add86cbcc99,075114cd-700b-422e-ae89-9f27c672dcd3",rag_v2,rag,7,11396.22,True,good,grounded,complete,Câu trả lời chính xác dựa trên thông tin được cung cấp trong ngữ cảnh về việc ban hành Quy định xét cấp học bổng khuyến khích học tập.,correct,Câu trả lời đã nêu chính xác người ký quyết định theo đúng thông tin trong câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_002,Quy định xét cấp học bổng KKHT của Đại học Bách khoa Hà Nội áp dụng đối với đối tượng sinh viên nào?,simple,easy,Áp dụng đối với sinh viên đại học hình thức đào tạo chính quy văn bằng thứ nhất của Đại học Bách khoa Hà Nội.,2e44c6a8-8202-4de7-b6d0-bbbecd3885cc,"Theo quy định về xét cấp học bổng khuyến khích học tập (KKHT) tại Đại học Bách khoa Hà Nội, đối tượng áp dụng là:

*   Sinh viên đại học hình thức đào tạo chính quy văn bằng thứ nhất của Đại học Bách khoa Hà Nội.","2e44c6a8-8202-4de7-b6d0-bbbecd3885cc,8fbc8520-f66a-4849-a64e-b3e5086459f2,ba5ffe2a-b465-4912-bac3-ab63163a5e55,07c0b91d-2e67-46fa-89d7-313c05fd4a6d,075114cd-700b-422e-ae89-9f27c672dcd3,54942498-f09a-442e-b3a6-bbd5d9828312,cb4b2379-702a-44c1-a6cd-1dfa3c97350f",rag_v2,rag,7,9562.76,True,good,grounded,complete,"Câu trả lời đã xác định chính xác đối tượng áp dụng dựa trên Điều 1, mục 2 của văn bản 'QUY ĐỊNH XÉT CẤP HỌC BỔNG KHUYẾN KHÍCH HỌC TẬP TẠI ĐẠI HỌC BÁCH KHOA HÀ NỘI' có trong ngữ cảnh.",correct,Câu trả lời được tạo ra truyền tải chính xác và đầy đủ thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_003,Học bổng KKHT tại Đại học Bách khoa Hà Nội được xét theo chu kỳ nào trong năm học?,simple,easy,"Học bổng KKHT được xét theo từng học kỳ chính của năm học, căn cứ vào thành tích học tập và rèn luyện của sinh viên trong học kỳ chính liền trước đó.",075114cd-700b-422e-ae89-9f27c672dcd3,"Theo quy định về xét cấp học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội, học bổng được xét theo chu kỳ như sau:

*   Học bổng được xét theo từng học kỳ chính của năm học.
*   Căn cứ xét cấp dựa trên thành tích học tập và rèn luyện của sinh viên trong học kỳ chính liền trước đó.

Bạn có thể [tại đây](https://ctt.hust.edu.vn/Upload/Nguyen%20Viet%20Tien/files/Quy%20định%20HB%20KKHT%20năm%202022.pdf).","075114cd-700b-422e-ae89-9f27c672dcd3,61ad4466-603d-4799-a251-6382f4db1234,b1cd7b78-9893-4784-8f6c-b6dce5f07eb5,9d6ff65f-2a99-4a81-b296-37259497f611",rag_v2,rag,4,5593.25,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp về quy định xét học bổng KKHT.",correct,Câu trả lời được tạo ra truyền tải đầy đủ và chính xác các thông tin quan trọng từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_004,Quỹ học bổng KKHT tại Đại học Bách khoa Hà Nội được hình thành từ nguồn nào và chiếm bao nhiêu phần trăm?,simple,easy,Quỹ học bổng KKHT hình thành từ nguồn học phí và bằng 8% học phí của học kỳ lấy điểm xét cấp học bổng.,075114cd-700b-422e-ae89-9f27c672dcd3,"Theo quy định xét cấp học bổng khuyến khích học tập (KKHT) tại Đại học Bách khoa Hà Nội, quỹ học bổng được hình thành từ nguồn học phí và chiếm 8% (tám phần trăm) học phí của học kỳ lấy điểm xét cấp học bổng.","075114cd-700b-422e-ae89-9f27c672dcd3,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0,5b4496d8-98ba-431d-b3ee-bfa3cac1a914",rag_v2,rag,3,8701.29,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã truyền tải đầy đủ và chính xác các thông tin quan trọng từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_005,Học bổng KKHT loại A (xuất sắc) tại Đại học Bách khoa Hà Nội có giá trị bằng bao nhiêu lần mức học bổng loại khá?,simple,easy,"Học bổng loại A (xuất sắc) bằng 1,5 lần mức học bổng loại khá (loại C).",075114cd-700b-422e-ae89-9f27c672dcd3,"Theo Quy định xét cấp học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội, học bổng loại xuất sắc (loại A) có giá trị bằng 1,5 lần mức học bổng loại khá (loại C).","075114cd-700b-422e-ae89-9f27c672dcd3,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0,5b4496d8-98ba-431d-b3ee-bfa3cac1a914",rag_v2,rag,3,5847.52,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã truyền tải chính xác thông tin về tỷ lệ giá trị học bổng loại A so với loại C như trong đáp án tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_006,Học bổng KKHT loại B (giỏi) tại Đại học Bách khoa Hà Nội có giá trị bằng bao nhiêu lần mức học bổng loại khá?,simple,easy,"Học bổng loại B (giỏi) bằng 1,2 lần mức học bổng loại khá (loại C).",075114cd-700b-422e-ae89-9f27c672dcd3,"Theo quy định về xét cấp học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội, học bổng loại giỏi (loại B) có giá trị bằng 1,2 lần mức học bổng loại khá (loại C).","075114cd-700b-422e-ae89-9f27c672dcd3,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0,5b4496d8-98ba-431d-b3ee-bfa3cac1a914",rag_v2,rag,3,15066.77,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra truyền tải chính xác thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_007,Mức học bổng KKHT loại C (khá) được tính như thế nào tại Đại học Bách khoa Hà Nội?,simple,easy,Học bổng loại khá (loại C) bằng tổng học phí của tất cả các học phần tính điểm trung bình học kỳ (GPA).,075114cd-700b-422e-ae89-9f27c672dcd3,"Theo quy định về xét cấp học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội, mức học bổng loại khá (loại C) được tính bằng tổng học phí của tất cả các học phần tính điểm trung bình học kỳ (GPA).","075114cd-700b-422e-ae89-9f27c672dcd3,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0,5b4496d8-98ba-431d-b3ee-bfa3cac1a914",rag_v2,rag,3,11285.55,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra truyền tải chính xác và đầy đủ thông tin như câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_008,Sinh viên Đại học Bách khoa Hà Nội cần đạt GPA và điểm rèn luyện tối thiểu bao nhiêu để được xét học bổng KKHT loại C (khá)?,simple,easy,"GPA ≥ 2,5 và điểm rèn luyện học kỳ ≥ 65 điểm.",2d9397a2-c900-4852-a039-a9eca2695ac2,"Theo Quy định xét cấp học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội, để được xét cấp học bổng loại C (loại khá), sinh viên cần đạt các tiêu chuẩn sau:

*   GPA: ≥ 2,5
*   Điểm rèn luyện học kỳ: ≥ 65 điểm","2d9397a2-c900-4852-a039-a9eca2695ac2,075114cd-700b-422e-ae89-9f27c672dcd3,50b1351d-9de8-4399-9fb9-f45a51bd63f3",rag_v2,rag,3,6344.51,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra cung cấp đầy đủ và chính xác các thông tin về GPA và điểm rèn luyện tối thiểu giống như câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_009,Sinh viên Đại học Bách khoa Hà Nội cần đạt GPA và điểm rèn luyện tối thiểu bao nhiêu để được xét học bổng KKHT loại B (giỏi)?,simple,easy,"GPA ≥ 3,2 và điểm rèn luyện học kỳ ≥ 80 điểm.",2d9397a2-c900-4852-a039-a9eca2695ac2,"Tôi không tìm thấy thông tin về mức điểm GPA và điểm rèn luyện tối thiểu cụ thể để được xét học bổng khuyến khích học tập (KKHT) loại B trong tài liệu hiện có.

Tài liệu chỉ cung cấp thông tin về các mức học bổng KKHT như sau:
*   **Loại khá (loại C):** Bằng tổng học phí của tất cả các học phần tính điểm trung bình học kỳ (GPA).
*   **Loại giỏi (loại B):** Bằng 1,2 lần mức học bổng loại khá.
*   **Loại xuất sắc (loại A):** Bằng 1,5 lần mức học bổng loại khá.

Việc xét cấp học bổng được thực hiện bởi Hội đồng xét cấp học bổng ĐHBK Hà Nội theo từng học kỳ chính, căn cứ vào thành tích học tập và rèn luyện của sinh viên trong học kỳ chính liền trước đó.","075114cd-700b-422e-ae89-9f27c672dcd3,50b1351d-9de8-4399-9fb9-f45a51bd63f3,5b4496d8-98ba-431d-b3ee-bfa3cac1a914",rag_v2,rag,3,12463.29,True,good,grounded,complete,Ngữ cảnh cung cấp không chứa thông tin về ngưỡng điểm GPA và điểm rèn luyện cụ thể để đạt học bổng loại B. Trợ lý đã trả lời đúng là không tìm thấy thông tin này trong tài liệu.,incorrect,"The generated answer fails to provide the specific GPA and training point requirements requested, stating it cannot find the information, whereas the reference answer provides the correct criteria.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1__QD_Hoc_bong_KKHT_2023_simple_010,Sinh viên Đại học Bách khoa Hà Nội cần đạt GPA và điểm rèn luyện tối thiểu bao nhiêu để được xét học bổng KKHT loại A (xuất sắc)?,simple,easy,"GPA ≥ 3,6 và điểm rèn luyện học kỳ ≥ 90 điểm.",2d9397a2-c900-4852-a039-a9eca2695ac2,"Tôi không tìm thấy thông tin cụ thể về mức điểm GPA và điểm rèn luyện tối thiểu cần đạt để được xét học bổng khuyến khích học tập (KKHT) loại A trong tài liệu hiện có.

Tài liệu chỉ quy định về mức giá trị của học bổng loại A (xuất sắc) là bằng 1,5 lần mức học bổng loại khá (loại C). Việc xét cấp học bổng được thực hiện bởi Hội đồng xét cấp học bổng ĐHBK Hà Nội dựa trên thành tích học tập và rèn luyện của sinh viên trong học kỳ chính liền trước đó.","075114cd-700b-422e-ae89-9f27c672dcd3,50b1351d-9de8-4399-9fb9-f45a51bd63f3,e32c1875-5a14-4574-8635-081b9bfc8b75",rag_v2,rag,3,8877.8,True,good,grounded,complete,Ngữ cảnh được cung cấp không chứa thông tin về ngưỡng điểm GPA và ĐRL cụ thể để xét học bổng KKHT loại A. Trợ lý đã trả lời đúng là không tìm thấy thông tin này trong ngữ cảnh và giải thích rõ những gì tài liệu có đề cập.,incorrect,"The generated answer fails to provide the specific GPA and training point requirements mentioned in the reference answer, claiming it cannot find the information.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
