id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
chunks_001_simple_001,Quy định áp dụng cho những chương trình nào?,simple,easy,"ĐTTN, PFIEV, Tiên tiến, CNTT Việt-Nhật và ICT",648800ef-6f78-4f14-b25d-0f6e15270055,"Tùy theo khóa học, quy định chuẩn ngoại ngữ áp dụng cho các nhóm chương trình khác nhau:

- **Đối với khóa K62–K64:** Áp dụng cho sinh viên các chương trình: Đào tạo tài năng (ĐTTN), Kỹ sư chất lượng cao PFIEV (KSCLC), Tiên tiến, Công nghệ thông tin Việt-Nhật, và Công nghệ thông tin ICT. (Theo tài liệu khóa K62–K64, section ""Đối tượng áp dụng"").

- **Đối với khóa K65–K67:** Áp dụng cho sinh viên đại học hệ chính quy, không thuộc ngành Ngôn ngữ Anh; danh sách cụ thể gồm các chương trình chuẩn, tài năng, PFIEV, tiên tiến và hợp tác quốc tế (xem Phụ lục 1). (Theo tài liệu khóa K65–K67, Điều 1 và Phụ lục 1).

- **Đối với khóa K70:** Áp dụng cho sinh viên theo học các chương trình đào tạo hình thức chính quy của Trường, chi tiết theo Phụ lục tương ứng. (Theo tài liệu khóa K70, Điều 1).","648800ef-6f78-4f14-b25d-0f6e15270055,61401637-bc11-4144-a5cc-727f5936e8fc,f59645a8-a831-4db5-867c-0f63ca0121e5,2bec3c2d-f6ae-438a-9073-0f73ac26c3d7,b5e56233-0562-4f16-b606-807e4f5cf8e0",rag_v2,rag,5,44243.41,True,good,grounded,complete,Câu trả lời đã tổng hợp chính xác thông tin về đối tượng áp dụng từ các văn bản quy định khác nhau tương ứng với từng nhóm khóa học được cung cấp trong ngữ cảnh.,correct,"The generated answer includes all the programs mentioned in the reference answer while providing additional context regarding different student cohorts, which does not contradict the reference.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_002,KSCLC yêu cầu TOEIC bao nhiêu?,simple,easy,600,26e290ff-48bf-4531-8e3d-4e6eb8cfb297,Chương trình KSCLC (Kỹ sư chất lượng cao) yêu cầu chuẩn tiếng Anh đầu ra là TOEIC **600** điểm.,"26e290ff-48bf-4531-8e3d-4e6eb8cfb297,6c764ae6-eb75-457c-a363-805f9702a5df,bcf80e92-ff6d-4f03-8d93-3309053d4305",rag_v2,rag,3,9020.46,True,good,grounded,complete,"Câu trả lời chính xác, dựa hoàn toàn vào ngữ cảnh được cung cấp về chuẩn ngoại ngữ đầu ra của chương trình KSCLC.",correct,Câu trả lời đã cung cấp đúng thông tin về mức điểm TOEIC 600 theo yêu cầu của câu hỏi.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_003,KSCLC yêu cầu chuẩn tiếng Pháp nào?,simple,easy,DELF B1,26e290ff-48bf-4531-8e3d-4e6eb8cfb297,"Theo tài liệu về **Chuẩn ngoại ngữ đầu ra đối với chương trình KSCLC** (dành cho các khóa từ K62 đến K64), chuẩn tiếng Pháp đầu ra yêu cầu là **DELF B1**.

- Ở tài liệu dành cho khóa K65–K67 (Bảng 7.3), chương trình chất lượng cao PFIEV (cùng hệ KSCLC) cũng yêu cầu **DELF B1** khi xét tốt nghiệp (kèm TOEIC 600).
- Với khóa K70, theo Bảng 5.2, chương trình Việt-Pháp PFIEV yêu cầu **DELF B2** khi xét tốt nghiệp kỹ sư chuyên sâu, nhưng vẫn giữ DELF B1 là chuẩn chung cho các đối tượng khác.

Bạn thuộc khóa nào? Nếu cho biết khóa, tôi có thể trả lời chính xác hơn.","26e290ff-48bf-4531-8e3d-4e6eb8cfb297,de789d2b-26a8-4db4-89ec-5282810512e7,2e9408a7-caf1-48f5-be5c-141ef26e562e,29f052b7-36c2-45c4-8400-46c2737d02a9,f46b63f1-bb52-45c4-b6f8-6c5a69bc03f7,ad7f1ea8-9539-4fa0-9078-a35eaf02a8e0",rag_v2,rag,6,22859.5,False,good,hallucinated,partial,"Câu trả lời chứa thông tin bịa đặt (hallucinated) về khóa K70 và bảng 5.2, những thông tin này hoàn toàn không có trong ngữ cảnh được cung cấp. Ngoài ra, việc tự ý suy diễn PFIEV là 'cùng hệ KSCLC' cũng không được nêu rõ trong tài liệu.",correct,"Câu trả lời đã xác nhận chuẩn DELF B1 theo yêu cầu của câu hỏi và cung cấp thêm thông tin chi tiết, chính xác về các khóa học khác nhau.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_004,Không đạt chuẩn ngoại ngữ KSCLC có thể làm gì?,simple,easy,Đề nghị cấp bằng chính quy cùng ngành,26e290ff-48bf-4531-8e3d-4e6eb8cfb297,"Theo tài liệu áp dụng cho sinh viên các khóa K62–K64, nếu bạn không đạt chuẩn ngoại ngữ đầu ra của chương trình KSCLC (TOEIC 600 hoặc DELF B1) nhưng đã tích lũy đủ số tín chỉ của chương trình, bạn **có thể đề nghị Hiệu trưởng xem xét việc cấp bằng tốt nghiệp đại học hệ chính quy cùng ngành**.

Đối với các khóa từ K68 trở đi, tài liệu không có quy định riêng về KSCLC, mà chỉ nêu chung về hạn chế khối lượng học tập nếu không đạt chuẩn ngoại ngữ theo tín chỉ tích lũy, kèm điều kiện gỡ bỏ bằng cách đăng ký học ít nhất 90 tiết học phần tiếng Anh bổ trợ. Tuy nhiên, thông tin này không trực tiếp trả lời câu hỏi cho chương trình KSCLC. Nếu bạn cần hướng dẫn cụ thể cho khóa của mình, vui lòng cho biết khóa học để tra cứu chính xác hơn.","26e290ff-48bf-4531-8e3d-4e6eb8cfb297,bf63050b-88ed-45e2-ab7a-7e5f6601168b,29fa02a8-f103-451e-aba2-ccdfd9d6c501",rag_v2,rag,3,34577.65,True,good,grounded,complete,Câu trả lời đã trích xuất chính xác thông tin từ ngữ cảnh cho chương trình KSCLC và làm rõ sự khác biệt về quy định đối với các khóa khác nhau dựa trên tài liệu được cung cấp.,correct,"Câu trả lời đã nêu đúng thông tin cốt lõi là đề nghị cấp bằng chính quy cùng ngành, đồng thời cung cấp thêm ngữ cảnh chi tiết và hữu ích cho người học.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_005,ĐTTN yêu cầu TOEIC bao nhiêu?,simple,easy,600,40852fba-6e9d-4c21-a405-55e2dea22587,Chương trình Đào tạo tài năng (ĐTTN) yêu cầu chuẩn tiếng Anh đầu ra là **TOEIC 600**.,"40852fba-6e9d-4c21-a405-55e2dea22587,f46b63f1-bb52-45c4-b6f8-6c5a69bc03f7,bcf80e92-ff6d-4f03-8d93-3309053d4305",rag_v2,rag,3,9074.87,True,good,grounded,complete,Câu trả lời chính xác dựa trên ngữ cảnh được cung cấp về chuẩn ngoại ngữ đầu ra của chương trình Đào tạo tài năng.,correct,Câu trả lời đã cung cấp chính xác thông tin về yêu cầu TOEIC 600 giống như đáp án tham khảo.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_006,ICT yêu cầu TOEIC bao nhiêu?,simple,easy,650,40852fba-6e9d-4c21-a405-55e2dea22587,"Theo tài liệu tham khảo, chương trình Công nghệ thông tin ICT yêu cầu chuẩn tiếng Anh đầu ra là **TOEIC 650**.","40852fba-6e9d-4c21-a405-55e2dea22587,6c764ae6-eb75-457c-a363-805f9702a5df,7b653b5b-d25b-41e4-8849-c24b2fcdc63e",rag_v2,rag,3,10539.12,True,good,grounded,complete,Câu trả lời chính xác dựa trên thông tin được cung cấp trong ngữ cảnh về chuẩn ngoại ngữ đầu ra đối với chương trình ICT.,correct,Câu trả lời đã cung cấp chính xác con số 650 theo yêu cầu của câu hỏi.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_007,CNTT Việt-Nhật yêu cầu chuẩn tiếng Nhật nào?,simple,easy,JLPT N3,50de962d-960e-4575-a247-432f0806cc82,"Chương trình Công nghệ thông tin Việt-Nhật yêu cầu chuẩn tiếng Nhật đầu ra **trình độ N3** (theo JLPT) hoặc chứng chỉ tương đương. Một số khóa sau cũng cho phép đáp ứng bằng cách hoàn thành các học phần tiếng Nhật từ Mức 1 đến Mức 4.

- Theo tài liệu dành cho khóa K62–K64: “yêu cầu chuẩn tiếng Nhật đầu ra trình độ N3, căn cứ theo kết quả của kỳ thi năng lực tiếng Nhật JLPT hoặc chứng chỉ tiếng Nhật tương đương.”
- Theo tài liệu dành cho khóa K65–K67 và K68–K69: điều kiện xét tốt nghiệp là “Chứng chỉ Tiếng Nhật N3 hoặc đạt các học phần tiếng Nhật từ Mức 1 đến Mức 4.”","50de962d-960e-4575-a247-432f0806cc82,c5b4362d-53ba-4584-aafe-609e87d36808,be784e43-a586-4bae-a895-869eb1a2b05a",rag_v2,rag,3,26019.62,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và bám sát các nguồn tài liệu được cung cấp trong ngữ cảnh, phân loại rõ ràng theo các nhóm khóa học.",correct,Câu trả lời đã nêu chính xác yêu cầu chuẩn N3 theo JLPT và cung cấp thêm thông tin chi tiết về các phương thức đáp ứng yêu cầu này.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_008,Sinh viên được thi chứng chỉ nội bộ bao nhiêu lần?,simple,easy,Nhiều lần,62e638d3-744a-451f-bf9f-ba21910b9635,"Theo tài liệu ""Học phần tiếng Anh cơ bản và Chứng chỉ tiếng Anh nội bộ"", mục 3: Sinh viên được tham dự các kỳ thi cấp chứng chỉ tiếng Anh nội bộ của Trường **nhiều lần** và được công nhận điểm thi cao nhất trong các lần thi. Tài liệu không giới hạn số lần cụ thể, do đó sinh viên có thể thi không hạn chế số lần.","a518a642-cf7f-46f9-bb00-97a3d6f9de7a,06ada73c-1835-4f94-8b7f-61d465ebb914,5d347da2-c4f6-4504-b610-4bb7b016fc4e",rag_v2,rag,3,20375.02,True,good,grounded,complete,"Câu trả lời chính xác dựa trên ngữ cảnh được cung cấp, nêu rõ sinh viên được thi nhiều lần và không có giới hạn cụ thể về số lần thi.",correct,"Câu trả lời đã truyền tải đúng thông tin cốt lõi là sinh viên được thi nhiều lần, đồng thời cung cấp thêm thông tin bổ sung chính xác về việc công nhận điểm cao nhất.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunks_001_simple_009,Điểm thi nội bộ được công nhận như thế nào?,simple,easy,Lấy điểm cao nhất,62e638d3-744a-451f-bf9f-ba21910b9635,"Theo các quy định về chuẩn ngoại ngữ:

- **Công nhận điểm cao nhất**: Sinh viên được tham dự kỳ thi tiếng Anh nội bộ của Trường nhiều lần và được công nhận điểm thi cao nhất trong các lần thi (theo Điều 4, khoản 3 – tài liệu áp dụng cho K65, K66, K67; và mục Công nhận tương đương – tài liệu áp dụng cho K62, K63, K64).

- **Thời hạn hiệu lực**: Kết quả thi có giá trị công nhận trong vòng **2 năm** kể từ ngày thi (các tài liệu đều nêu rõ).

- **Điều kiện tham dự** (theo tài liệu dành cho K63, K64): Sinh viên chỉ được đăng ký thi cấp chứng chỉ tiếng Anh nội bộ sau khi hoàn thành chương trình tiếng Anh cơ bản. Nếu đạt TOEIC từ **500 điểm trở lên**, sinh viên được cấp Chứng nhận tiếng Anh nội bộ của Trường, có giá trị trong 2 năm.","cc76675a-03f2-4ce9-bd63-e3505995581a,62e638d3-744a-451f-bf9f-ba21910b9635,a518a642-cf7f-46f9-bb00-97a3d6f9de7a",rag_v2,rag,3,23241.15,True,good,grounded,complete,"Câu trả lời đã tổng hợp đầy đủ các quy định về việc công nhận điểm thi nội bộ, thời hạn hiệu lực và điều kiện tham dự dựa trên các tài liệu được cung cấp trong ngữ cảnh.",correct,"Câu trả lời được tạo ra đã bao gồm thông tin cốt lõi là 'lấy điểm cao nhất' và bổ sung thêm các thông tin chi tiết, chính xác về quy định liên quan.",1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
chunks_001_simple_010,Kết quả thi nội bộ có giá trị bao lâu?,simple,easy,2 năm,62e638d3-744a-451f-bf9f-ba21910b9635,"Tôi không tìm thấy thông tin về thời hạn hiệu lực của kết quả thi nội bộ (tiếng Anh) trong các tài liệu tham khảo hiện có. Các tài liệu chỉ đề cập đến thủ tục nhận kết quả, cấp giấy chứng nhận và lịch thi, nhưng không nêu rõ giá trị của kết quả có hiệu lực trong bao lâu.","b3da5b88-7cdb-49f3-a44a-ec96880cd880,22ac7873-a3a0-47ac-b591-59009531051a,5c83760d-ffa6-4966-b24a-0d8f5b4ff1d6,82921303-6af6-42a8-a257-9978315c71d8,fafcfe1a-6605-4bd8-9f42-862ce2185f6c,3c664c5d-8000-4afb-8bfd-456c3bef2e5e,73aea3ac-54d2-4a1a-a954-55ed178a11e1,/ctt.hust.edu.vn/Upload/Nguy%E1%BB%85n%20Qu%E1%BB%91c%20%C4%90%E1%BA%A1t/files/DTDH_QDQC/Hoctap/06_%20Quy%20%C4%91%E1%BB%8Bnh%20ngo%E1%BA%A1i%20ng%E1%BB%AF%20t%E1%BB%AB%20K70_ch%C3%ADnh%20quy_final.pdf,/clc.hust.edu.vn/ket-qua-thi-tieng-anh-noi-bo-va-thu-tuc-lam-giay-chung-nhan,/clc.hust.edu.vn/faqs-mot-cau-hoi-thuong-gap",rag_v2,rag,10,25471.14,True,good,grounded,complete,"Dựa trên các tài liệu được cung cấp, không có thông tin nào đề cập đến thời hạn hiệu lực của kết quả thi nội bộ. Trợ lý đã trả lời đúng là không tìm thấy thông tin này trong ngữ cảnh.",incorrect,The generated answer fails to provide the specific information requested (2 years) and instead claims the information is unavailable.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
