id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
chunks_001_simple_001,Sinh viên được xét miễn học phần ngoại ngữ cơ bản khi nào?,simple,easy,Nếu sinh viên đạt được chứng chỉ ngoại ngữ theo quy định sẽ được xét miễn các học phần NNCB tương ứng.,2180d883-8170-47b1-90dd-93486eb258d4,"Sinh viên được xét miễn học phần ngoại ngữ cơ bản khi đạt được chứng chỉ ngoại ngữ theo quy định của Nhà trường (theo Điều 3.2, tài liệu khóa K70). Chứng chỉ phải còn hạn tính đến thời điểm nộp đơn và được thẩm định, cập nhật lên hệ thống quản lý đào tạo trước khi nộp đơn (theo Điều 3.3 và 3.4). Thời hạn nộp đơn muộn nhất là **2 tuần** trước khi học kỳ bắt đầu (theo Điều 3.5). Kết quả miễn được ghi bằng ký hiệu ""R"" trong dữ liệu học tập.","57f25b7e-9744-47c3-a69a-060d300ab4ce,9ebee123-3237-4f37-9512-c8adaa6eb6e4,2180d883-8170-47b1-90dd-93486eb258d4,be891215-b92e-4f67-af3b-e0d10a53cb6b,317f09ff-1255-4b5d-a903-61da23e2a92f,7ac6976b-e4ba-4f23-9bf9-9440c5073e46,2c83a050-51e2-4e28-8d55-374b316b0caf",rag_v2,rag,7,21816.1,True,good,grounded,complete,"Câu trả lời đầy đủ, chính xác, dựa hoàn toàn vào ngữ cảnh được cung cấp và trích dẫn đúng các điều khoản liên quan đến việc xét miễn học phần ngoại ngữ cơ bản.",correct,"Câu trả lời được tạo ra bao hàm đầy đủ thông tin cốt lõi từ câu trả lời tham chiếu và cung cấp thêm các chi tiết quy định cụ thể, không có thông tin sai lệch.",1.0,0.3333,1.0,0.3333,0.5,1.0,0.2,1.0,0.3333,0.5,1.0,0.1429,1.0,0.3333,0.5
chunks_001_simple_002,Kết quả miễn học ngoại ngữ cơ bản được ghi nhận như thế nào?,simple,easy,"Kết quả miễn học được ghi bằng ký hiệu ""R"" và có giá trị toàn khóa.",2180d883-8170-47b1-90dd-93486eb258d4,"Theo Điều 3 của Quy định về công nhận, xét miễn học phần ngoại ngữ cơ bản:

- Kết quả miễn học được ghi nhận bằng **ký hiệu ""R""** trong dữ liệu học tập.
- Ký hiệu ""R"" có giá trị **toàn khóa** kể từ ngày nhập điểm R.
- Các học phần được miễn cũng được ghi nhận tương tự (trong các Phụ lục, ký hiệu ""M"" cũng đồng nghĩa với việc ghi điểm R).","/ctt.hust.edu.vn/Upload/Nguy%E1%BB%85n%20Qu%E1%BB%91c%20%C4%90%E1%BA%A1t/files/DTDH_QDQC/Hoctap/06_%20Quy%20%C4%91%E1%BB%8Bnh%20ngo%E1%BA%A1i%20ng%E1%BB%AF%20t%E1%BB%AB%20K70_ch%C3%ADnh%20quy_final.pdf,/ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=35493,/ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=38095,2180d883-8170-47b1-90dd-93486eb258d4,9ebee123-3237-4f37-9512-c8adaa6eb6e4,87879cb9-d1f4-4f25-8374-48c610d9e60b,d667cb24-43d5-48a9-a2df-4f97b6db5e37,9bbbde31-1400-43c5-b300-a2b7f0eb6d6b,0ea04eb6-ce7c-47b6-8183-ec825614a976,1324555a-4936-48b6-a137-75b1c0dec9fc",rag_v2,rag,10,19508.49,False,good,partially_grounded,partial,"Câu trả lời có chứa thông tin bịa đặt ở ý cuối cùng: 'trong các Phụ lục, ký hiệu ""M"" cũng đồng nghĩa với việc ghi điểm R'. Ngữ cảnh cung cấp không hề đề cập đến ký hiệu 'M' hay việc 'M' đồng nghĩa với 'R'.",correct,Câu trả lời đã nêu đầy đủ các thông tin chính từ đáp án tham khảo và bổ sung thêm thông tin chi tiết nhưng không làm sai lệch nội dung.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_003,Thời hạn nộp đơn xin miễn học phần ngoại ngữ cơ bản là khi nào?,simple,easy,Muộn nhất là 2 tuần trước khi bắt đầu học kỳ.,2180d883-8170-47b1-90dd-93486eb258d4,"Dựa trên tài liệu tham khảo hiện có, tôi chỉ tìm thấy một thông báo cụ thể về **thời hạn nộp chứng chỉ tiếng Anh để miễn học phần** (không phải đơn xin miễn chung) như sau:

- **Thời gian nộp:** Trước 16h ngày **19/10/2020** (theo thông báo tại [Đường link](https://ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=36874)).

Tuy nhiên, đây là thông báo cũ (năm 2020) và có thể không còn hiệu lực cho các khóa hiện tại. Các tài liệu khác không cung cấp thời hạn nộp đơn xin miễn học phần ngoại ngữ cơ bản một","/ctt.hust.edu.vn/Upload/Nguy%E1%BB%85n%20Qu%E1%BB%91c%20%C4%90%E1%BA%A1t/files/DTDH_QDQC/Hoctap/06_%20Quy%20%C4%91%E1%BB%8Bnh%20ngo%E1%BA%A1i%20ng%E1%BB%AF%20t%E1%BB%AB%20K70_ch%C3%ADnh%20quy_final.pdf,/ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=36874,/ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=38095,ff4fa62d-7f66-4c03-be95-0500ac5d489f,d88cceae-b46c-433c-8440-d2a9319fd273,ac1040e2-c51c-46e7-aa4d-6f4d1b3b9686,a92ed215-3a64-403f-8073-7c2130b4228d,fa62e3fc-27eb-4963-a0fb-24cc0e71bf19,1c439f64-e234-44b2-9d7c-b416ba23fd81,e7eaa2e8-22ae-4e03-b9af-c40a5d5cc24c",rag_v2,rag,10,29712.28,True,good,grounded,complete,"Câu trả lời đã phản ánh đúng thông tin từ ngữ cảnh, chỉ ra rằng thông tin hiện có đã cũ và không đủ để trả lời cho thời điểm hiện tại, đồng thời đề xuất tìm kiếm thêm.",incorrect,"The generated answer fails to provide the general rule stated in the reference answer and instead provides an outdated, specific deadline from 2020.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunks_001_simple_004,"Trong hai học kỳ đầu, ai xếp lớp ngoại ngữ cơ bản cho sinh viên?",simple,easy,Ban Đào tạo xếp lớp dựa trên kết quả phân loại đầu vào.,9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,"Trong hai học kỳ đầu, **Ban Đào tạo** xếp lớp các học phần ngoại ngữ cơ bản cho sinh viên dựa trên kết quả phân loại trình độ ngoại ngữ đầu vào. (Theo Quy định về phân loại trình độ đầu vào, chương trình môn học và chuẩn ngoại ngữ, Điều 3 và Điều 4).","a7cd0e7c-71d4-4869-9698-5b51b8cb4d6a,317f09ff-1255-4b5d-a903-61da23e2a92f,880b1a8b-047e-4b22-bebf-5d3232d90283,9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,4ba71ca8-d9cf-467d-92a9-02568ed97d51,7f4e79f9-1f86-45fa-ae34-9e4c03934a44,92a5e3bb-c295-422e-aed1-45200838d227",rag_v2,rag,7,18294.63,True,good,grounded,complete,"Câu trả lời chính xác, dựa hoàn toàn vào thông tin tại Điều 3, khoản 1a của tài liệu quy định được cung cấp trong ngữ cảnh.",correct,Câu trả lời đã truyền tải đầy đủ thông tin chính xác từ đáp án tham chiếu và bổ sung thêm thông tin nguồn dẫn chứng hợp lệ.,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.25,0.4307,1.0,0.1429,1.0,0.25,0.4307
chunks_001_simple_005,Từ học kỳ nào sinh viên tự đăng ký học phần ngoại ngữ cơ bản?,simple,easy,Từ học kỳ 3 trở đi.,9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,"Từ **học kỳ 3** trở đi, sinh viên tự đăng ký học song hành các học phần ngoại ngữ cơ bản (NNCB) cùng với các học phần khác trong chương trình đào tạo.

Theo quy định tại Điều 4.2 của tài liệu hướng dẫn lộ trình học tập ngoại ngữ cơ bản (áp dụng cho khóa K70): ""Từ học kỳ 3 trở đi, sinh viên tự đăng ký học song hành các học phần NNCB cùng với các học phần khác trong CTĐT, bảo đảm tiến độ đáp ứng chuẩn ngoại ngữ theo từng học kỳ quy định tại các Phụ lục tương ứng.""","317f09ff-1255-4b5d-a903-61da23e2a92f,9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,9ebee123-3237-4f37-9512-c8adaa6eb6e4,87879cb9-d1f4-4f25-8374-48c610d9e60b,d667cb24-43d5-48a9-a2df-4f97b6db5e37,d5a8f2ce-3393-4222-91ea-42e33690ee21,880b1a8b-047e-4b22-bebf-5d3232d90283",rag_v2,rag,7,23233.45,True,good,grounded,complete,"Câu trả lời chính xác, dựa trên thông tin tại Điều 4 của tài liệu quy định lộ trình học tập ngoại ngữ cơ bản (K70) được cung cấp trong ngữ cảnh.",correct,Câu trả lời đã cung cấp chính xác thông tin từ học kỳ 3 trở đi và bổ sung thêm ngữ cảnh chi tiết mà không làm sai lệch nội dung chính.,1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
chunks_001_simple_006,Sinh viên có được hủy học phần NNCB đã đăng ký không?,simple,easy,"Không, trừ khi rút toàn bộ đăng ký học tập.",9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,"Theo quy định hiện hành của Đại học Bách khoa Hà Nội, sinh viên **không được phép hủy** các học phần Ngoại ngữ cơ bản (NNCB) đã đăng ký.

Việc đăng ký học song hành các học phần NNCB (kể từ học kỳ 3 trở đi) là điều kiện bắt buộc để sinh viên được đăng ký học tập các học phần khác trong chương trình đào tạo.

Nếu bạn cần thêm thông tin chi tiết hoặc có trường hợp đặc biệt, vui lòng liên hệ trực tiếp với Phòng Đào tạo để được hỗ trợ và xác nhận chính thức.","d88cceae-b46c-433c-8440-d2a9319fd273,a92ed215-3a64-403f-8073-7c2130b4228d,ff4fa62d-7f66-4c03-be95-0500ac5d489f,ac1040e2-c51c-46e7-aa4d-6f4d1b3b9686,fa62e3fc-27eb-4963-a0fb-24cc0e71bf19,df545ded-5fb6-419c-a8c8-c7b884313388,d6dba542-0a9d-4633-b043-66da6a04f9f7,0c6f18da-4bb1-499a-8af2-a3d643cd7203,3bdfc505-a39b-49ec-b252-230769593079,7eb93900-883a-4e4f-9a10-4f4053e3d6e5,9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,9390fe56-1d81-4068-99a4-fd86e0fccbfc,4411b054-65b0-47b2-ba27-763dc57155e2,317f09ff-1255-4b5d-a903-61da23e2a92f",agent,complex,14,3013.94,False,good,hallucinated,incomplete,"Câu trả lời của trợ lý đưa ra thông tin về việc không được hủy học phần Ngoại ngữ cơ bản (NNCB) mà không có bất kỳ căn cứ nào từ ngữ cảnh được cung cấp. Ngữ cảnh chỉ đề cập đến quy định rút học phần trong học kỳ chính và kỳ hè, không nhắc đến học phần NNCB.",partial,The generated answer fails to mention the exception allowed in the reference answer (withdrawing from the entire semester registration).,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunks_001_simple_007,Chứng chỉ tiếng Anh xét chuẩn đầu ra cần đủ bao nhiêu kỹ năng?,simple,easy,Phải đánh giá đầy đủ 4 kỹ năng.,930e63ee-8533-412a-95ed-967bac30208c,"Theo các quy định trong tài liệu tham khảo:

- Đối với chương trình tiên tiến (Elitech) – **Phụ lục 5** (K68, K69): điều kiện xét nhận đồ án/khóa luận tốt nghiệp và xét tốt nghiệp yêu cầu **IELTS 5.5 hoặc chứng chỉ tiếng Anh tương đương 4 kỹ năng**.
- Đối với chương trình đào tạo hợp tác quốc tế – **Phụ lục 6** (K68, K69): cùng yêu cầu **IELTS 5.5 hoặc chứng chỉ tiếng Anh tương đương 4 kỹ năng**.
- Đối với chương trình đào tạo chuẩn – **Phụ lục 3** (K68, K69): yêu cầu đạt tối thiểu **Bậc 3.1** (theo Khung năng lực ngoại ngữ 6 bậc Việt Nam) – bậc này tương ứng với 4 kỹ năng nhưng không ghi rõ số kỹ năng trong bảng.

Tóm lại, các quy định cụ thể đã nêu đều yêu cầu chứng chỉ tiếng Anh xét chuẩn đầu ra phải **đủ 4 kỹ năng** (nghe, nói, đọc, viết).","7b653b5b-d25b-41e4-8849-c24b2fcdc63e,b92d6aa5-ecb5-4497-a262-65f4104f1442,3405d3b5-d35f-4a39-ad58-362ceb51a44e,a53edad8-7533-49d8-ba03-b33725bde4dc,b5753397-715c-463b-ac5e-ed49fca74c8c,0fc121e1-e9b8-49b1-ae89-f4265ce3087f,e3a29e1c-9828-458f-8089-ebccfa6e428c",rag_v2,rag,7,29868.16,True,good,grounded,complete,Câu trả lời đã trích dẫn chính xác thông tin từ ngữ cảnh (Phụ lục 5 yêu cầu chứng chỉ 4 kỹ năng) và suy luận hợp lý dựa trên các quy định được cung cấp.,correct,"Câu trả lời đã xác nhận chính xác yêu cầu phải có đủ 4 kỹ năng như trong đáp án tham khảo, đồng thời cung cấp thêm ngữ cảnh cụ thể cho từng chương trình đào tạo.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunks_001_simple_008,Chứng chỉ tiếng Anh xét chuẩn đầu ra được cấp trong bao lâu?,simple,easy,Trong vòng 2 năm.,930e63ee-8533-412a-95ed-967bac30208c,"Theo các quy định trong tài liệu tham khảo, chứng chỉ tiếng Anh dùng để xét chuẩn đầu ra phải được cấp trong vòng **2 năm** tính đến thời điểm xét và còn hiệu lực tại thời điểm đó.

Cụ thể:
- Quy định tại Điều 5 (dành cho Khóa K70): chứng chỉ phải được cấp trong vòng 2 năm và còn hiệu lực khi xét.
- Quy định dành cho Khóa K63, K64: chứng chỉ nội bộ có giá trị 2 năm kể từ ngày cấp.
- Quy định dành cho Khóa K68, K69 (Điều 4, khoản 4): chứng chỉ tiếng Anh quốc tế có giá trị công nhận trong vòng 2 năm kể từ ngày cấp.

Như vậy, thời hạn chung là **2 năm**.","b5753397-715c-463b-ac5e-ed49fca74c8c,930e63ee-8533-412a-95ed-967bac30208c,b92d6aa5-ecb5-4497-a262-65f4104f1442,a518a642-cf7f-46f9-bb00-97a3d6f9de7a,80f0489c-4157-402b-9dfe-2cc134b9f1a0,b73dd4e6-4708-4783-9e17-b5fa5ba98fdb,62e638d3-744a-451f-bf9f-ba21910b9635",rag_v2,rag,7,18633.03,False,good,partially_grounded,complete,"Câu trả lời có chứa thông tin về 'Khóa K68, K69 (Điều 4, khoản 4)' mà thông tin này không hề xuất hiện trong ngữ cảnh được cung cấp. Mặc dù kết luận về thời hạn 2 năm là đúng với các phần còn lại của ngữ cảnh, việc đưa thêm thông tin không có trong nguồn dữ liệu vi phạm tiêu chí faithfulness.",correct,"Câu trả lời đã nêu rõ thời hạn 2 năm như đáp án tham khảo và cung cấp thêm thông tin chi tiết, chính xác về các quy định liên quan.",1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
chunks_001_simple_009,Sinh viên không đủ điều kiện phân loại đầu vào sẽ học thế nào?,simple,easy,Được xếp từ học phần đầu tiên của khối NNCB.,7f4e79f9-1f86-45fa-ae34-9e4c03934a44,"Chào bạn, đối với sinh viên không đáp ứng điều kiện phân loại trình độ ngoại ngữ đầu vào, quy định của Đại học Bách khoa Hà Nội như sau:

*   **Về lộ trình học tập:** Bạn sẽ được xếp học từ học phần đầu tiên của khối Ngoại ngữ cơ bản (NNCB) tương ứng với chương trình đào tạo của mình và phải học toàn bộ các học phần ngoại ngữ theo lộ trình quy định.
*   **Về khối lượng học tập:** Nếu bạn không đạt chuẩn ngoại ngữ theo số tín chỉ tích lũy, bạn sẽ bị hạn chế khối lượng đăng ký học tập (tối đa 14 tín chỉ và tối thiểu 8 tín chỉ cho một học kỳ chính).
*   **Điều kiện gỡ bỏ hạn chế:** Để được gỡ bỏ mức hạn chế khối lượng học tập, bạn cần đăng ký học tại Trường ít nhất 90 tiết học các học phần tiếng Anh bổ trợ (áp dụng với các chương trình đào tạo chuẩn, tài năng, tiên tiến và quốc tế có chuẩn đầu ra là tiếng Anh).

Nếu cần xác nhận thông tin chi tiết cho trường hợp cụ thể của mình, bạn vui lòng liên hệ trực tiếp với Phòng Đào tạo để được hỗ trợ chính xác nhất.","31da4b25-270a-49f6-a2a2-a610f558e7c0,7f4e79f9-1f86-45fa-ae34-9e4c03934a44,2ddfbd79-283d-4ee0-b484-dec733c36868,29fa02a8-f103-451e-aba2-ccdfd9d6c501,d59d8e0c-d956-4f0e-bd34-30f9475acfc7,4a80a675-b3d5-4a09-8833-ae3f2f00bff5,6de37c76-ea95-4b6d-a2ee-18a632f1391c,c1f8a9a1-bf92-4179-9980-717f924135cb,27870bc2-f792-4cb1-a222-90d237e21658,7ffc875a-99a3-4ae2-94c2-0adbb8e671fc,e2b34fd8-c125-4636-aecf-5bbd3a85a7f1,014cb8be-b379-4783-92c6-c06871a2c280,f5befb75-ff28-4700-b89f-cd85a7ca1240,1c32d3ae-29d2-4e80-9ec8-5cdac9f73741",agent,complex,14,3341.58,True,good,grounded,complete,Câu trả lời đã tổng hợp chính xác thông tin từ các văn bản quy định khác nhau (K65-K67 và K70) về việc xếp lớp học ngoại ngữ và các quy định liên quan đến hạn chế khối lượng học tập khi không đạt chuẩn ngoại ngữ.,correct,Câu trả lời được tạo ra bao hàm đầy đủ thông tin cốt lõi từ câu trả lời tham chiếu và cung cấp thêm các thông tin bổ sung chính xác về quy định học tập.,1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
chunks_001_simple_010,Các học phần NNCB có tính vào tín chỉ chính khóa không?,simple,easy,Không tính tín chỉ trong CTĐT chính khóa.,2180d883-8170-47b1-90dd-93486eb258d4,"Theo Điều 3, khoản 1 của Quy định về ngoại ngữ cơ bản, các học phần NNCB được xếp vào khối kiến thức ngoại ngữ bổ trợ tăng cường và **không tính tín chỉ** trong chương trình đào tạo chính khóa.","2180d883-8170-47b1-90dd-93486eb258d4,9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,f59645a8-a831-4db5-867c-0f63ca0121e5,5b4496d8-98ba-431d-b3ee-bfa3cac1a914,9ebee123-3237-4f37-9512-c8adaa6eb6e4,31da4b25-270a-49f6-a2a2-a610f558e7c0,4017170b-cb68-4dd8-a42b-247851257060",rag_v2,rag,7,10613.13,True,good,grounded,complete,"Câu trả lời chính xác, trích dẫn đúng từ ngữ cảnh được cung cấp tại Điều 3, khoản 1 của quy định.",correct,Câu trả lời đã truyền tải chính xác thông tin cốt lõi là các học phần NNCB không được tính vào tín chỉ chính khóa.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
