id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
baiviet_all_chunks_simple_001,Hội thảo online của chương trình tham quan tuyển dụng Goertek Vina diễn ra lúc mấy giờ và vào ngày nào?,simple,easy,Hội thảo online diễn ra lúc 20h00 ngày 12/05/2026.,0fe3aa2d-cda5-4fa5-844a-ba73e3823030,Hội thảo online diễn ra lúc **20h00 ngày 12/05/2026**.,"0fe3aa2d-cda5-4fa5-844a-ba73e3823030,5a27e1fc-30e6-4671-a4c6-a1796c7a3858,e3ba59c3-d749-414d-8416-a492c3c3fe7c,ac83efd7-3854-4b11-bf72-007309dd45f3,8694eb8d-09e7-4385-b921-599a7c96d562,14a3bbdd-a8ca-4711-9f02-985bf908186c,a54f5383-ff21-47b8-917d-dca19357acbb",rag_v2,rag,7,9352.85,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra cung cấp chính xác thông tin về thời gian và ngày diễn ra hội thảo giống hệt với câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
baiviet_all_chunks_simple_002,Chương trình tham quan nhà máy và phỏng vấn tuyển dụng của Goertek Vina bắt đầu lúc mấy giờ và ở đâu?,simple,easy,Tham quan bắt đầu lúc 7h00 ngày 15/05/2026 tại Nhà máy Goertek Vina tại Bắc Ninh.,ac83efd7-3854-4b11-bf72-007309dd45f3,"Chương trình tham quan nhà máy và phỏng vấn tuyển dụng của Goertek Vina bắt đầu lúc **7h00 ngày 15/05/2026**, tại **Nhà máy Goertek Vina ở Bắc Ninh**.","ac83efd7-3854-4b11-bf72-007309dd45f3,0fe3aa2d-cda5-4fa5-844a-ba73e3823030,dcb87d87-a72d-4992-9e23-b84b44f3121f,0c0dbeb5-4613-4655-83d2-16c17916fd74,82921303-6af6-42a8-a257-9978315c71d8,1b6d4629-9ccf-450e-ab1a-55b654f7c387,0da8e77e-3942-4f2d-81ed-62d6465ac602",rag_v2,rag,7,6711.85,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp về chương trình tham quan tuyển dụng của Goertek Vina ngày 15/05/2026.",correct,Câu trả lời được tạo ra cung cấp đầy đủ và chính xác các thông tin về thời gian và địa điểm giống như câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
baiviet_all_chunks_simple_003,Chương trình tham quan tuyển dụng Goertek Vina tuyển tối đa bao nhiêu người?,simple,easy,Chương trình tuyển tối đa 20 người.,95265f14-adf1-48a6-b3f2-ebd68f57364c,Chương trình tham quan tuyển dụng Goertek Vina tuyển dụng **20 người** cho chương trình “Cán Bộ Nguồn Đôi Cánh Goertek 2026”.,"ac83efd7-3854-4b11-bf72-007309dd45f3,95265f14-adf1-48a6-b3f2-ebd68f57364c,82921303-6af6-42a8-a257-9978315c71d8,7a850989-d916-4d19-8428-a8a6f7c9384b,53ba4f6f-e628-4b9e-8bea-5bc519a42e18,da4da67a-5a72-4574-ba57-21e7c93be4c8,b696067a-87f6-4130-a37e-1e087edd1a28,0fe3aa2d-cda5-4fa5-844a-ba73e3823030",rag_v2,rag,8,8741.51,True,good,grounded,complete,Câu trả lời chính xác dựa trên ngữ cảnh được cung cấp về chương trình tuyển dụng Cán bộ nguồn Đôi cánh Goertek 2026.,correct,"Câu trả lời đã nêu đúng con số 20 người theo yêu cầu của câu hỏi, thông tin bổ sung về tên chương trình không làm sai lệch nội dung chính.",1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
baiviet_all_chunks_simple_004,Lương thử việc tại Goertek Vina bằng bao nhiêu phần trăm lương chính thức và ước tính khoảng bao nhiêu tiền?,simple,easy,"Lương thử việc bằng 85% lương chính thức, khoảng 9,2 triệu VND, chưa bao gồm tăng ca và các khoản trợ cấp.",95265f14-adf1-48a6-b3f2-ebd68f57364c,Tôi không tìm thấy thông tin này trong tài liệu hiện có.,"8c7b778a-a63f-4b15-9fe4-b075e6997ded,c61eccd0-db75-5e96-857e-75d4c2100305,b8e0dd53-c5a0-4aa1-8142-ef58491699da,c648678a-cd06-5e80-8c8e-4cff8505f22d,13188ea5-14f5-536d-8231-68e47ae637ab,d275e767-8661-4a7f-b3e4-332d2f57a681,b584d748-1083-495f-8f68-ea9fbcab9df7",rag_v2,rag,7,17917.8,True,good,grounded,complete,Thông tin về lương thử việc tại công ty Goertek Vina không có trong ngữ cảnh được cung cấp. Trợ lý đã phản hồi đúng là không tìm thấy thông tin.,incorrect,"The generated answer fails to provide the requested information, whereas the reference answer provides specific details.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baiviet_all_chunks_simple_005,Goertek Vina được thành lập năm nào và ở đâu tại Việt Nam?,simple,easy,"Goertek Vina được thành lập năm 2019 tại KCN Quế Võ, phường Nam Sơn, TP Bắc Ninh, tỉnh Bắc Ninh.",53ba4f6f-e628-4b9e-8bea-5bc519a42e18,"Goertek Vina được thành lập năm **2019** tại **KCN Quế Võ, phường Nam Sơn, TP Bắc Ninh, tỉnh Bắc Ninh** (theo Chương trình tham quan tuyển dụng của công ty Goertek Vina tại Bắc Ninh).","53ba4f6f-e628-4b9e-8bea-5bc519a42e18,6d7608d0-da32-4b16-85eb-6a6c012a36f6,4a327618-1612-411b-9598-c708b98f11de,22ac7873-a3a0-47ac-b591-59009531051a,2217addc-8ac2-4864-8732-7fb15b2c763d,82921303-6af6-42a8-a257-9978315c71d8,13188ea5-14f5-536d-8231-68e47ae637ab",rag_v2,rag,7,13620.6,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra cung cấp đầy đủ và chính xác các thông tin về năm thành lập và địa điểm của Goertek Vina giống như câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
baiviet_all_chunks_simple_006,Chế độ nghỉ phép theo giờ tại Goertek Vina là bao nhiêu lần mỗi tháng và mỗi lần mấy tiếng?,simple,easy,"Mỗi tháng nghỉ 2 lần, mỗi lần 2 tiếng và vẫn hưởng lương.",a54f5383-ff21-47b8-917d-dca19357acbb,"Theo tài liệu ""Chương trình tham quan tuyển dụng của công ty Goertek Vina tại Bắc Ninh"", chế độ nghỉ phép theo giờ được quy định như sau:

- **Số lần mỗi tháng:** 2 lần
- **Thời gian mỗi lần:** 2 giờ
- **Chế độ lương:** hưởng nguyên lương","5a27e1fc-30e6-4671-a4c6-a1796c7a3858,22ac7873-a3a0-47ac-b591-59009531051a,3d1cafe6-ac00-4452-a909-05a8252d0dba,66bb3caa-bbb5-44c2-bf76-7077d8a48922,a54f5383-ff21-47b8-917d-dca19357acbb,c648678a-cd06-5e80-8c8e-4cff8505f22d,53ba4f6f-e628-4b9e-8bea-5bc519a42e18",rag_v2,rag,7,9464.23,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp về chế độ nghỉ phép tại Goertek Vina.",correct,"Câu trả lời đã cung cấp đầy đủ và chính xác các thông tin về số lần nghỉ, thời gian mỗi lần và chế độ lương giống như đáp án tham chiếu.",0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.2,0.3869,1.0,0.1429,1.0,0.2,0.3869
baiviet_all_chunks_simple_007,Chương trình 'Tuyển dụng cán bộ nguồn 2027' của Goertek Vina nhắm đến sinh viên tốt nghiệp trước thời điểm nào?,simple,easy,Sinh viên tốt nghiệp trước tháng 8 năm 2027.,dca512e6-269b-4ad8-be4c-c8d64cb607b2,"Chương trình yêu cầu sinh viên tốt nghiệp **trước tháng 8 năm 2027** (theo tài liệu ""Chương trình “Tuyển dụng cán bộ nguồn 2027 ” Công ty Goertek Vina – Đào tạo tại Việt Nam"").","dca512e6-269b-4ad8-be4c-c8d64cb607b2,82921303-6af6-42a8-a257-9978315c71d8,22ac7873-a3a0-47ac-b591-59009531051a,12c25693-9042-4684-92f5-546bc4de8841,c9e83f97-38f8-4337-97ce-fddff4b71f9f,ac83efd7-3854-4b11-bf72-007309dd45f3,469aca08-b8f6-466e-a566-855759fb6b40",rag_v2,rag,7,7647.81,True,good,grounded,complete,"Câu trả lời chính xác, trích dẫn đúng thông tin từ ngữ cảnh được cung cấp.",correct,Câu trả lời đã cung cấp chính xác thông tin về thời điểm tốt nghiệp theo yêu cầu của chương trình.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
baiviet_all_chunks_simple_008,Hạn nộp báo danh cho chương trình tuyển dụng cán bộ nguồn 2027 của Goertek Vina là khi nào?,simple,easy,Hạn báo danh đến hết ngày 10 tháng 05 năm 2026.,82921303-6af6-42a8-a257-9978315c71d8,"Theo tài liệu về chương trình “Tuyển dụng cán bộ nguồn 2027” của Công ty Goertek Vina, thời gian báo danh là **đến hết ngày 10 tháng 05 năm 2026**.","82921303-6af6-42a8-a257-9978315c71d8,dca512e6-269b-4ad8-be4c-c8d64cb607b2,22ac7873-a3a0-47ac-b591-59009531051a,ac83efd7-3854-4b11-bf72-007309dd45f3,0fe3aa2d-cda5-4fa5-844a-ba73e3823030,53ba4f6f-e628-4b9e-8bea-5bc519a42e18,a54f5383-ff21-47b8-917d-dca19357acbb",rag_v2,rag,7,10133.97,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã cung cấp chính xác thông tin về hạn nộp báo danh giống với câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
baiviet_all_chunks_simple_009,Chương trình đào tạo cán bộ nguồn Goertek Vina kéo dài bao lâu và dự kiến diễn ra từ khi nào đến khi nào?,simple,easy,"Chương trình kéo dài 1 học kỳ tại trung tâm đào tạo Goertek Việt Nam, dự kiến từ tháng 02 đến tháng 06/2027.",22ac7873-a3a0-47ac-b591-59009531051a,"Chương trình đào tạo cán bộ nguồn Goertek Vina kéo dài **1 học kỳ** (khoảng 5 tháng), dự kiến diễn ra từ **tháng 2 đến tháng 6 năm 2027**. (Theo tài liệu ""Chương trình 'Tuyển dụng cán bộ nguồn 2027' Công ty Goertek Vina – Đào tạo tại Việt Nam"", mục 4: ""Thời gian tham gia: 1 Học kỳ tại trung tâm đào tạo... dự kiến từ 02-06/2027"".)","22ac7873-a3a0-47ac-b591-59009531051a,ac83efd7-3854-4b11-bf72-007309dd45f3,82921303-6af6-42a8-a257-9978315c71d8,4ece021b-66c9-4c9a-919f-6cb4245d0f2b,7f4f7892-e384-4fbf-b397-6be486a7048f,dca512e6-269b-4ad8-be4c-c8d64cb607b2,01767ec8-1d15-45bf-b0fe-1a493a77a92d",rag_v2,rag,7,18706.1,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra cung cấp đầy đủ và chính xác các thông tin về thời gian đào tạo và mốc thời gian dự kiến như trong câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
baiviet_all_chunks_simple_010,Tổng chỉ tiêu đào tạo sĩ quan dự bị năm 2026 tại Đại học Bách khoa Hà Nội là bao nhiêu?,simple,easy,Tổng chỉ tiêu đào tạo sĩ quan dự bị năm 2026 là 08 chỉ tiêu.,4ece021b-66c9-4c9a-919f-6cb4245d0f2b,Tôi không tìm thấy thông tin này trong tài liệu hiện có.,"a8a28e34-df56-4cde-85f8-dabfa212c436,fcc28993-fe62-4ee0-a124-14e93d2b5ede,cbdaf934-cb74-4f9d-927d-6dd8986b664f,874f739b-4012-4751-ac09-16f9062ecc98,755a2270-9ade-4083-8695-faef10a68014,ceb7094a-9b80-5f9c-ba78-9cfd41a48d34,c6e80bf4-33e9-4a36-ae8f-10d0f439d9c8,d260b4dc-f8de-4bb5-850d-226941c0b923",rag_v2,rag,8,22573.57,True,good,grounded,complete,Thông tin về chỉ tiêu đào tạo sĩ quan dự bị không có trong ngữ cảnh được cung cấp. Trợ lý đã trả lời đúng là không tìm thấy thông tin.,incorrect,"The generated answer fails to provide the information requested, while the reference answer provides a specific figure.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
